Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2024-01-07 00:00:00.000,198.49291666666664,-2.2777777777777777,4.571,4.641,87.9,12.2,26.4,13.81,92.2
2024-01-12 00:00:00.000,198.91791666666663,-2.276944444444444,4.476,4.626,92.6,12.3,26.3,11.68,87.2
2024-01-17 00:00:00.000,199.26916666666665,-2.238888888888889,4.382,4.612,97.3,12.2,26.3,9.54,79.6
2024-01-22 00:00:00.000,199.5425,-2.1622222222222223,4.288,4.597,102.2,12.1,26.2,7.55,67.6
2024-01-27 00:00:00.000,199.73375,-2.0463888888888886,4.196,4.583,107.1,11.8,26.1,6.05,47.7
2024-02-01 00:00:00.000,199.8395833333333,-1.8908333333333334,4.105,4.568,112.1,11.5,26.1,5.59,19.3
2024-02-06 00:00:00.000,199.85625,-1.6944444444444444,4.017,4.553,117.2,11.1,26.0,6.55,352.4
2024-02-11 00:00:00.000,199.7808333333333,-1.4577777777777778,3.932,4.538,122.4,10.6,25.9,8.53,334.6
2024-02-16 00:00:00.000,199.61208333333332,-1.181388888888889,3.851,4.522,127.6,10.0,25.9,10.97,323.9
2024-02-21 00:00:00.000,199.34999999999997,-0.8672222222222222,3.775,4.507,132.9,9.2,25.8,13.59,317.2
2024-05-11 00:00:00.000,188.49708333333334,5.370277777777777,3.466,4.236,134.6,9.8,25.5,16.53,289.9
2024-05-16 00:00:00.000,188.01916666666665,5.533611111111111,3.504,4.218,129.4,10.7,25.5,13.62,287.8
2024-05-21 00:00:00.000,187.62999999999997,5.647777777777777,3.546,4.2,124.2,11.5,25.6,10.62,284.7
2024-05-26 00:00:00.000,187.3320833333333,5.713611111111112,3.592,4.181,119.2,12.2,25.6,7.6,279.5
2024-05-31 00:00:00.000,187.12791666666664,5.7316666666666665,3.641,4.162,114.3,12.8,25.7,4.68,268.1
2024-06-05 00:00:00.000,187.01874999999998,5.703611111111111,3.693,4.143,109.5,13.3,25.7,2.38,230.3
2024-06-10 00:00:00.000,187.005,5.630833333333334,3.747,4.124,104.8,13.8,25.7,3.01,160.5
2024-06-15 00:00:00.000,187.08541666666665,5.5152777777777775,3.802,4.105,100.1,14.1,25.8,5.56,137.1
2024-06-20 00:00:00.000,187.25749999999996,5.359722222222222,3.858,4.085,95.6,14.3,25.8,8.33,129.0
2024-06-25 00:00:00.000,187.51791666666662,5.166944444444445,3.914,4.065,91.2,14.5,25.8,11.07,124.9
2024-06-30 00:00:00.000,187.86416666666665,4.938611111111111,3.971,4.045,86.9,14.5,25.8,13.73,122.4
2025-03-02 00:00:00.000,253.20083333333332,-10.720555555555556,2.714,2.86,88.2,20.3,24.5,38.43,80.4
2025-03-07 00:00:00.000,254.4520833333333,-10.486944444444443,2.62,2.832,91.9,20.5,24.4,36.65,78.0
2025-03-12 00:00:00.000,255.62958333333333,-10.214444444444444,2.526,2.804,95.7,20.6,24.3,34.73,75.4
2025-03-17 00:00:00.000,256.72625,-9.904166666666667,2.433,2.776,99.5,20.7,24.2,32.67,72.4
2025-03-22 00:00:00.000,257.73375,-9.556111111111111,2.341,2.747,103.3,20.7,24.1,30.45,68.8
2025-03-27 00:00:00.000,258.6425,-9.171388888888888,2.25,2.719,107.2,20.5,23.9,28.08,64.5
2025-04-01 00:00:00.000,259.4425,-8.751666666666667,2.162,2.69,111.2,20.3,23.8,25.61,59.3
2025-04-06 00:00:00.000,260.1245833333333,-8.299722222222222,2.076,2.661,115.3,19.9,23.7,23.14,52.7
2025-04-11 00:00:00.000,260.68041666666664,-7.818611111111111,1.992,2.633,119.4,19.4,23.6,20.79,44.4
2025-04-16 00:00:00.000,261.10124999999994,-7.311111111111111,1.911,2.604,123.6,18.7,23.4,18.73,33.8
