Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-08-30 00:00:00.000,292.94458333333324,-24.91888888888889,8.529,9.266,134.6,4.5,25.4,7.99,267.8
2023-09-04 00:00:00.000,292.6725,-24.92527777777778,8.601,9.276,129.5,4.8,25.4,6.81,269.4
2023-09-09 00:00:00.000,292.445,-24.92361111111111,8.678,9.285,124.5,5.1,25.5,5.58,271.6
2023-09-14 00:00:00.000,292.2633333333333,-24.91444444444444,8.758,9.295,119.5,5.4,25.5,4.3,275.2
2023-09-19 00:00:00.000,292.1304166666666,-24.898055555555555,8.842,9.304,114.5,5.6,25.5,3.02,281.6
2023-09-24 00:00:00.000,292.04666666666657,-24.874166666666667,8.93,9.313,109.5,5.8,25.6,1.81,296.9
2023-09-29 00:00:00.000,292.0120833333333,-24.84361111111111,9.019,9.322,104.6,6.0,25.6,1.06,345.3
2023-10-04 00:00:00.000,292.02666666666664,-24.80638888888889,9.11,9.332,99.7,6.1,25.6,1.62,41.2
2023-10-09 00:00:00.000,292.0899999999999,-24.7625,9.203,9.341,94.9,6.1,25.6,2.77,59.5
2023-10-14 00:00:00.000,292.2016666666666,-24.712777777777777,9.296,9.35,90.0,6.1,25.7,4.02,66.7
2023-10-19 00:00:00.000,292.36041666666665,-24.65694444444444,9.389,9.359,85.2,6.1,25.7,5.26,70.4
2024-04-26 00:00:00.000,309.60208333333327,-21.039444444444445,9.628,9.669,89.4,6.0,25.8,3.51,81.9
2024-05-01 00:00:00.000,309.7049999999999,-21.028333333333332,9.552,9.677,94.1,6.0,25.8,2.27,85.6
2024-05-06 00:00:00.000,309.7637499999999,-21.02777777777778,9.476,9.684,98.9,5.9,25.8,1.03,98.4
2024-05-11 00:00:00.000,309.7779166666666,-21.038333333333334,9.401,9.691,103.7,5.8,25.8,0.53,206.0
2024-05-16 00:00:00.000,309.7470833333333,-21.059444444444445,9.328,9.698,108.6,5.7,25.7,1.68,241.8
2024-05-21 00:00:00.000,309.67208333333326,-21.09111111111111,9.258,9.705,113.5,5.5,25.7,2.94,247.9
2024-05-26 00:00:00.000,309.5529166666666,-21.133055555555558,9.19,9.713,118.4,5.3,25.7,4.18,250.5
2024-05-31 00:00:00.000,309.3904166666666,-21.184166666666666,9.125,9.72,123.3,5.0,25.7,5.4,251.9
2024-06-05 00:00:00.000,309.18625,-21.244722222222222,9.065,9.727,128.3,4.7,25.6,6.59,252.9
2024-06-10 00:00:00.000,308.94124999999997,-21.313333333333333,9.009,9.733,133.3,4.4,25.6,7.71,253.6
2024-09-08 00:00:00.000,301.8666666666667,-22.7025,9.128,9.851,133.6,4.2,25.6,7.53,263.6
2024-09-13 00:00:00.000,301.61583333333334,-22.72583333333333,9.198,9.857,128.5,4.6,25.7,6.4,265.0
2024-09-18 00:00:00.000,301.40624999999994,-22.740000000000002,9.273,9.863,123.5,4.9,25.7,5.23,266.9
2024-09-23 00:00:00.000,301.2391666666666,-22.744722222222222,9.351,9.869,118.5,5.1,25.8,4.02,269.8
2024-09-28 00:00:00.000,301.11625,-22.740555555555556,9.433,9.875,113.4,5.3,25.8,2.8,275.4
2024-10-03 00:00:00.000,301.03791666666666,-22.7275,9.518,9.881,108.5,5.5,25.8,1.62,289.2
2024-10-08 00:00:00.000,301.00583333333327,-22.705277777777777,9.605,9.887,103.5,5.6,25.8,0.84,342.2
2024-10-13 00:00:00.000,301.0195833333333,-22.674166666666668,9.694,9.892,98.6,5.7,25.9,1.46,43.5
2024-10-18 00:00:00.000,301.0783333333333,-22.634722222222223,9.784,9.898,93.7,5.8,25.9,2.6,59.8
2024-10-23 00:00:00.000,301.18125,-22.58722222222222,9.874,9.904,88.8,5.8,25.9,3.79,65.9
2025-05-01 00:00:00.000,316.9258333333333,-18.455,10.099,10.09,86.6,5.7,26.0,3.94,76.4
2025-05-06 00:00:00.000,317.0404166666666,-18.429722222222225,10.019,10.094,91.4,5.7,26.0,2.75,77.9
2025-05-11 00:00:00.000,317.11458333333326,-18.41638888888889,9.94,10.098,96.1,5.7,26.0,1.55,81.6
2025-05-16 00:00:00.000,317.14833333333326,-18.41472222222222,9.862,10.102,100.9,5.6,25.9,0.39,109.1
2025-05-21 00:00:00.000,317.1404166666666,-18.425,9.784,10.106,105.8,5.5,25.9,0.95,239.4
2025-05-26 00:00:00.000,317.0908333333333,-18.446666666666665,9.709,10.11,110.6,5.4,25.9,2.17,247.4
2025-05-31 00:00:00.000,316.99999999999994,-18.480277777777776,9.636,10.114,115.5,5.2,25.9,3.39,249.7
2025-06-05 00:00:00.000,316.86791666666664,-18.525,9.566,10.118,120.4,5.0,25.8,4.58,250.8
2025-06-10 00:00:00.000,316.69625,-18.580277777777777,9.5,10.121,125.4,4.7,25.8,5.73,251.6
2025-06-15 00:00:00.000,316.4862499999999,-18.64527777777778,9.438,10.125,130.4,4.4,25.8,6.83,252.1
2025-09-18 00:00:00.000,309.53958333333327,-20.32361111111111,9.492,10.188,131.7,4.2,25.8,7.01,260.4
2025-09-23 00:00:00.000,309.31291666666664,-20.3575,9.561,10.191,126.6,4.5,25.8,5.9,261.6
2025-09-28 00:00:00.000,309.12541666666664,-20.38111111111111,9.634,10.194,121.5,4.8,25.9,4.73,263.3
2025-10-03 00:00:00.000,308.97916666666663,-20.394166666666667,9.712,10.197,116.4,5.0,25.9,3.53,266.2
2025-10-08 00:00:00.000,308.87499999999994,-20.396944444444443,9.792,10.199,111.4,5.2,25.9,2.33,272.0
2025-10-13 00:00:00.000,308.8133333333333,-20.38888888888889,9.875,10.202,106.4,5.4,26.0,1.19,289.2
2025-10-18 00:00:00.000,308.79499999999996,-20.370555555555555,9.96,10.205,101.5,5.5,26.0,0.71,7.4
2025-10-23 00:00:00.000,308.81999999999994,-20.342222222222222,10.046,10.207,96.5,5.6,26.0,1.65,52.3
2025-10-28 00:00:00.000,308.88791666666657,-20.303333333333335,10.134,10.21,91.6,5.6,26.0,2.83,62.4
2025-11-02 00:00:00.000,308.99791666666664,-20.254722222222224,10.221,10.213,86.7,5.6,26.0,4.01,66.4
2026-05-11 00:00:00.000,323.85208333333327,-15.70111111111111,10.248,10.279,88.9,5.6,26.1,3.29,72.5
2026-05-16 00:00:00.000,323.9416666666666,-15.674444444444443,10.165,10.28,93.7,5.6,26.0,2.11,73.2
2026-05-21 00:00:00.000,323.9920833333333,-15.660555555555556,10.083,10.281,98.4,5.6,26.0,0.91,75.7
2026-05-26 00:00:00.000,324.0029166666667,-15.659444444444444,10.002,10.281,103.2,5.5,26.0,0.3,238.3
2026-05-31 00:00:00.000,323.97416666666663,-15.671111111111111,9.923,10.282,108.1,5.4,26.0,1.5,248.9
2026-06-05 00:00:00.000,323.90624999999994,-15.695277777777777,9.846,10.283,112.9,5.2,26.0,2.7,250.2
2026-06-10 00:00:00.000,323.79875,-15.731944444444444,9.771,10.284,117.8,5.0,25.9,3.88,250.7
2026-06-15 00:00:00.000,323.6525,-15.780833333333334,9.7,10.284,122.7,4.8,25.9,5.05,251.0
2026-06-20 00:00:00.000,323.4683333333333,-15.841111111111111,9.632,10.285,127.7,4.5,25.9,6.17,251.3
2026-06-25 00:00:00.000,323.24791666666664,-15.9125,9.569,10.286,132.7,4.2,25.8,7.23,251.5
2026-09-23 00:00:00.000,316.7708333333333,-17.733055555555556,9.563,10.289,134.3,4.0,25.8,7.54,256.8
