Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-10-14 00:00:00.000,112.31333333333332,15.397777777777778,4.535,4.617,88.5,12.5,26.4,14.31,138.1
2023-10-19 00:00:00.000,112.60125,15.041944444444445,4.438,4.6,93.1,12.5,26.4,12.83,146.4
2023-10-24 00:00:00.000,112.80124999999998,14.685555555555556,4.341,4.583,97.7,12.4,26.3,11.59,157.2
2023-10-29 00:00:00.000,112.90958333333332,14.33,4.245,4.565,102.5,12.3,26.2,10.79,170.5
2023-11-03 00:00:00.000,112.92208333333332,13.97638888888889,4.151,4.547,107.4,12.0,26.2,10.62,185.8
2023-11-08 00:00:00.000,112.83416666666666,13.626111111111111,4.059,4.529,112.4,11.7,26.1,11.2,201.3
2023-11-13 00:00:00.000,112.64208333333332,13.280833333333334,3.969,4.511,117.4,11.2,26.0,12.51,214.9
2023-11-18 00:00:00.000,112.34374999999999,12.9425,3.882,4.493,122.6,10.7,26.0,14.37,225.7
2023-11-23 00:00:00.000,111.93875,12.612499999999999,3.8,4.474,127.8,10.0,25.9,16.59,233.9
2023-11-28 00:00:00.000,111.42833333333333,12.292222222222222,3.722,4.456,133.2,9.3,25.8,19.0,240.2
2024-02-11 00:00:00.000,97.64833333333333,9.5975,3.402,4.156,134.7,9.7,25.3,20.42,267.5
2024-02-16 00:00:00.000,97.01166666666666,9.575833333333334,3.438,4.134,129.3,10.7,25.3,17.23,268.5
2024-02-21 00:00:00.000,96.48541666666667,9.567777777777778,3.478,4.113,123.9,11.5,25.3,13.9,269.7
2024-02-26 00:00:00.000,96.07291666666667,9.570833333333333,3.522,4.091,118.7,12.3,25.4,10.5,271.3
2024-03-02 00:00:00.000,95.77583333333332,9.583055555555555,3.57,4.069,113.6,12.9,25.4,7.07,273.9
2024-03-07 00:00:00.000,95.59583333333332,9.602222222222222,3.62,4.047,108.5,13.4,25.4,3.67,280.1
2024-03-12 00:00:00.000,95.53166666666664,9.625277777777779,3.673,4.025,103.6,13.9,25.4,0.75,345.2
2024-03-17 00:00:00.000,95.58166666666665,9.649722222222222,3.726,4.002,98.8,14.2,25.4,3.22,76.8
2024-03-22 00:00:00.000,95.74208333333331,9.673333333333332,3.781,3.979,94.2,14.5,25.4,6.37,84.0
2024-03-27 00:00:00.000,96.00833333333333,9.693333333333333,3.835,3.956,89.6,14.6,25.4,9.41,86.8
2024-04-01 00:00:00.000,96.37583333333332,9.707777777777777,3.889,3.933,85.2,14.7,25.4,12.32,88.5
2024-12-17 00:00:00.000,164.82541666666665,-27.338055555555556,2.326,2.488,87.6,23.3,22.3,58.89,151.2
2024-12-22 00:00:00.000,165.85375,-29.077222222222222,2.244,2.456,90.4,23.6,22.2,58.78,153.8
2024-12-27 00:00:00.000,166.80208333333331,-30.852777777777778,2.163,2.425,93.1,23.9,22.0,58.6,156.6
2025-01-01 00:00:00.000,167.65791666666664,-32.66027777777778,2.085,2.393,95.8,24.1,21.9,58.32,159.6
2025-01-06 00:00:00.000,168.41,-34.494166666666665,2.008,2.362,98.4,24.3,21.7,57.95,162.7
2025-01-11 00:00:00.000,169.04625,-36.34722222222222,1.934,2.33,100.9,24.5,21.6,57.52,166.1
2025-01-16 00:00:00.000,169.5525,-38.21277777777778,1.862,2.299,103.4,24.6,21.5,56.99,169.6
2025-01-21 00:00:00.000,169.9120833333333,-40.080555555555556,1.792,2.267,105.8,24.7,21.3,56.33,173.4
2025-01-26 00:00:00.000,170.10666666666665,-41.93861111111111,1.726,2.236,108.0,24.8,21.2,55.49,177.6
2025-01-31 00:00:00.000,170.1175,-43.77111111111111,1.662,2.205,110.2,24.8,21.0,54.45,182.0
2025-02-05 00:00:00.000,169.92708333333331,-45.559999999999995,1.601,2.174,112.2,24.8,20.9,53.19,186.7
2025-02-10 00:00:00.000,169.52166666666668,-47.28638888888889,1.543,2.143,114.0,24.9,20.8,51.73,191.8
2025-02-15 00:00:00.000,168.8875,-48.928888888888885,1.488,2.113,115.7,24.9,20.6,50.02,197.2
2025-02-20 00:00:00.000,168.01624999999999,-50.463055555555556,1.436,2.082,117.2,25.0,20.5,48.03,203.2
2025-02-25 00:00:00.000,166.90708333333333,-51.86194444444445,1.387,2.052,118.5,25.1,20.3,45.7,209.8
2025-03-02 00:00:00.000,165.57333333333332,-53.09777777777778,1.341,2.022,119.5,25.2,20.2,43.02,217.0
2025-03-07 00:00:00.000,164.04749999999999,-54.14472222222222,1.298,1.993,120.4,25.4,20.1,40.02,224.9
2025-03-12 00:00:00.000,162.37791666666664,-54.98166666666667,1.257,1.964,121.0,25.7,19.9,36.77,233.7
2025-03-17 00:00:00.000,160.62874999999997,-55.59138888888889,1.22,1.935,121.5,26.0,19.8,33.35,243.8
2025-03-22 00:00:00.000,158.87708333333333,-55.961111111111116,1.185,1.907,121.7,26.4,19.7,29.88,255.6
2025-03-27 00:00:00.000,157.2120833333333,-56.08555555555556,1.153,1.88,121.7,26.8,19.5,26.61,269.9
2025-04-01 00:00:00.000,155.72875,-55.967222222222226,1.122,1.853,121.6,27.4,19.4,23.94,287.2
2025-04-06 00:00:00.000,154.51541666666665,-55.61833333333333,1.094,1.826,121.3,27.9,19.3,22.51,307.6
2025-04-11 00:00:00.000,153.64333333333332,-55.058055555555555,1.068,1.801,120.8,28.5,19.2,23.0,329.3
2025-04-16 00:00:00.000,153.16374999999996,-54.30611111111111,1.044,1.776,120.3,29.2,19.1,25.67,349.4
2025-04-21 00:00:00.000,153.11124999999996,-53.38305555555556,1.022,1.752,119.6,29.9,19.0,30.22,5.7
2025-04-26 00:00:00.000,153.50624999999997,-52.308611111111105,1.002,1.729,118.8,30.7,18.9,36.15,18.4
2025-05-01 00:00:00.000,154.3558333333333,-51.10305555555556,0.984,1.707,118.0,31.4,18.8,42.99,28.1
2025-05-06 00:00:00.000,155.65208333333334,-49.78638888888889,0.967,1.686,117.1,32.2,18.7,50.4,35.6
2025-05-11 00:00:00.000,157.3745833333333,-48.37416666666667,0.953,1.666,116.1,33.0,18.6,58.18,41.3
2025-05-16 00:00:00.000,159.4975,-46.876111111111115,0.94,1.647,115.1,33.8,18.5,66.16,45.8
2025-05-21 00:00:00.000,161.98958333333331,-45.300555555555555,0.93,1.63,114.1,34.5,18.5,74.2,49.3
2025-05-26 00:00:00.000,164.82041666666663,-43.655277777777776,0.922,1.614,112.9,35.3,18.4,82.1,52.2
2025-05-31 00:00:00.000,167.95541666666665,-41.95,0.917,1.599,111.8,36.1,18.3,89.64,54.6
