Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,204.73083333333332,-22.1675,1.529,2.129,111.9,26.3,22.7,19.24,309.3
2023-07-06 00:00:00.000,204.3133333333333,-21.797222222222224,1.541,2.077,106.8,27.9,22.6,13.02,320.2
2023-07-11 00:00:00.000,204.13124999999997,-21.501944444444444,1.555,2.025,101.9,29.4,22.5,7.91,346.4
2023-07-16 00:00:00.000,204.17874999999995,-21.285833333333336,1.568,1.972,97.1,30.8,22.4,6.93,40.4
2023-07-21 00:00:00.000,204.44958333333332,-21.150277777777777,1.581,1.918,92.6,32.0,22.3,11.01,75.0
2023-07-26 00:00:00.000,204.93624999999997,-21.095555555555553,1.592,1.863,88.3,33.0,22.2,16.57,88.4
2024-01-02 00:00:00.000,355.11541666666665,30.848888888888887,0.346,1.034,88.6,71.9,16.3,421.25,61.0
2024-01-07 00:00:00.000,9.422083333333333,36.43666666666666,0.376,1.096,97.3,62.8,16.8,364.07,69.0
2024-01-12 00:00:00.000,22.877499999999994,39.67222222222222,0.421,1.159,103.9,55.5,17.3,300.34,77.2
2024-01-17 00:00:00.000,34.61291666666666,41.11,0.477,1.221,108.4,49.8,17.8,244.25,84.6
2024-01-22 00:00:00.000,44.412499999999994,41.42166666666667,0.543,1.284,111.1,45.6,18.3,199.8,90.6
2024-01-27 00:00:00.000,52.48166666666666,41.11083333333333,0.615,1.346,112.5,42.5,18.7,166.09,95.2
2024-02-01 00:00:00.000,59.165,40.48888888888889,0.693,1.407,112.8,40.2,19.2,140.91,98.7
2024-02-06 00:00:00.000,64.79124999999999,39.72916666666667,0.776,1.468,112.3,38.4,19.6,122.12,101.2
2024-02-11 00:00:00.000,69.62583333333332,38.924166666666665,0.863,1.528,111.2,37.0,20.0,108.03,103.0
2024-02-16 00:00:00.000,73.86791666666667,38.12083333333334,0.954,1.587,109.7,35.9,20.4,97.31,104.2
2024-02-21 00:00:00.000,77.66125,37.34055555555556,1.048,1.646,107.8,34.9,20.8,89.02,104.9
2024-02-26 00:00:00.000,81.10916666666665,36.59166666666667,1.144,1.703,105.7,34.0,21.1,82.53,105.4
2024-03-02 00:00:00.000,84.28875,35.87555555555556,1.244,1.76,103.4,33.2,21.4,77.44,105.7
2024-03-07 00:00:00.000,87.25874999999998,35.191111111111105,1.345,1.816,100.9,32.4,21.7,73.43,105.9
2024-03-12 00:00:00.000,90.06333333333332,34.535,1.449,1.872,98.3,31.7,22.0,70.26,105.9
2024-03-17 00:00:00.000,92.73458333333332,33.90333333333333,1.554,1.926,95.7,30.9,22.3,67.68,106.0
2024-03-22 00:00:00.000,95.29624999999999,33.29277777777778,1.661,1.98,92.9,30.2,22.6,65.53,106.0
2024-03-27 00:00:00.000,97.76416666666665,32.69888888888889,1.769,2.033,90.1,29.4,22.8,63.74,106.0
2024-04-01 00:00:00.000,100.15374999999999,32.118611111111115,1.878,2.085,87.3,28.6,23.1,62.25,106.1
2024-12-12 00:00:00.000,174.4958333333333,7.094444444444444,3.916,4.004,88.0,14.2,27.5,8.0,105.1
2024-12-17 00:00:00.000,174.70749999999995,7.046111111111111,3.86,4.031,92.8,14.1,27.5,4.93,99.5
2024-12-22 00:00:00.000,174.82083333333333,7.040555555555556,3.805,4.057,97.8,13.9,27.5,1.94,75.4
2024-12-27 00:00:00.000,174.83208333333332,7.079166666666667,3.75,4.083,102.9,13.6,27.5,2.2,325.9
2025-01-01 00:00:00.000,174.73708333333332,7.162222222222223,3.696,4.109,108.1,13.1,27.5,5.45,305.5
2025-01-06 00:00:00.000,174.5333333333333,7.290277777777778,3.645,4.135,113.4,12.6,27.5,8.91,300.3
2025-01-11 00:00:00.000,174.22041666666664,7.461666666666667,3.596,4.16,118.8,12.0,27.5,12.37,297.9
2025-01-16 00:00:00.000,173.79874999999998,7.675277777777778,3.55,4.185,124.4,11.2,27.5,15.78,296.4
2025-01-21 00:00:00.000,173.26999999999998,7.9286111111111115,3.509,4.21,130.0,10.3,27.5,19.1,295.3
2025-04-11 00:00:00.000,158.97041666666667,12.904166666666667,3.804,4.564,134.6,9.0,28.0,17.66,281.2
2025-04-16 00:00:00.000,158.42624999999998,12.999166666666666,3.883,4.584,129.2,9.8,28.1,14.67,278.9
2025-04-21 00:00:00.000,157.97916666666666,13.055277777777778,3.966,4.603,123.9,10.4,28.1,11.69,275.5
2025-04-26 00:00:00.000,157.62999999999997,13.074166666666667,4.053,4.622,118.8,11.0,28.2,8.77,270.1
2025-05-01 00:00:00.000,157.37874999999997,13.056666666666667,4.144,4.641,113.7,11.5,28.3,6.02,259.9
2025-05-06 00:00:00.000,157.2233333333333,13.004444444444445,4.237,4.66,108.7,11.8,28.3,3.79,237.0
2025-05-11 00:00:00.000,157.16,12.92,4.333,4.679,103.9,12.1,28.4,3.05,190.3
2025-05-16 00:00:00.000,157.1845833333333,12.805000000000001,4.429,4.697,99.1,12.3,28.4,4.35,153.2
2025-05-21 00:00:00.000,157.29291666666663,12.661666666666667,4.527,4.715,94.5,12.4,28.5,6.41,137.3
2025-05-26 00:00:00.000,157.48041666666666,12.491388888888888,4.625,4.733,89.9,12.4,28.6,8.6,129.7
2025-05-31 00:00:00.000,157.74249999999998,12.295833333333333,4.723,4.75,85.4,12.3,28.6,10.73,125.5
2025-12-27 00:00:00.000,186.5675,-1.4166666666666667,5.209,5.276,88.5,10.7,29.3,5.81,116.6
2026-01-01 00:00:00.000,186.70416666666665,-1.4880555555555557,5.133,5.284,93.5,10.7,29.3,3.43,119.2
2026-01-06 00:00:00.000,186.76666666666662,-1.5277777777777777,5.057,5.292,98.5,10.6,29.3,1.02,134.7
2026-01-11 00:00:00.000,186.75166666666664,-1.5352777777777777,4.981,5.299,103.6,10.4,29.2,1.66,279.6
2026-01-16 00:00:00.000,186.65666666666664,-1.5091666666666668,4.908,5.307,108.8,10.1,29.2,4.27,287.6
2026-01-21 00:00:00.000,186.4795833333333,-1.4491666666666667,4.836,5.314,114.1,9.7,29.2,6.93,289.5
2026-01-26 00:00:00.000,186.2208333333333,-1.355,4.767,5.321,119.4,9.3,29.2,9.59,290.3
2026-01-31 00:00:00.000,185.88041666666663,-1.2272222222222224,4.702,5.327,124.9,8.7,29.1,12.2,290.8
2026-02-05 00:00:00.000,185.46041666666665,-1.0669444444444445,4.642,5.334,130.4,8.1,29.1,14.75,291.0
2026-05-01 00:00:00.000,173.3445833333333,3.513611111111111,4.683,5.412,132.2,7.9,29.2,15.15,288.4
2026-05-06 00:00:00.000,172.90166666666667,3.657222222222222,4.749,5.415,126.9,8.6,29.2,12.75,287.5
2026-05-11 00:00:00.000,172.53333333333333,3.7691666666666666,4.818,5.417,121.7,9.1,29.3,10.3,286.3
2026-05-16 00:00:00.000,172.24124999999998,3.8491666666666666,4.892,5.42,116.6,9.6,29.3,7.82,284.2
2026-05-21 00:00:00.000,172.02666666666664,3.897222222222222,4.968,5.422,111.5,10.0,29.3,5.35,280.3
2026-05-26 00:00:00.000,171.88916666666663,3.913333333333333,5.047,5.424,106.6,10.3,29.4,3.0,270.3
2026-05-31 00:00:00.000,171.8258333333333,3.8986111111111112,5.128,5.426,101.7,10.5,29.4,1.19,221.6
2026-06-05 00:00:00.000,171.83541666666662,3.854166666666667,5.21,5.428,97.0,10.7,29.4,2.22,142.8
2026-06-10 00:00:00.000,171.9145833333333,3.781111111111111,5.293,5.429,92.3,10.8,29.5,4.29,127.5
2026-06-15 00:00:00.000,172.06166666666664,3.6802777777777775,5.376,5.43,87.7,10.8,29.5,6.39,122.5
2027-01-11 00:00:00.000,198.3208333333333,-8.931111111111111,5.214,5.303,89.9,10.7,29.3,6.34,125.8
2027-01-16 00:00:00.000,198.45791666666665,-9.04111111111111,5.122,5.296,94.8,10.7,29.3,4.11,134.3
2027-01-21 00:00:00.000,198.51874999999998,-9.122222222222224,5.032,5.288,99.8,10.6,29.2,2.1,161.7
2027-01-26 00:00:00.000,198.50124999999994,-9.173888888888888,4.942,5.281,104.9,10.4,29.2,2.02,237.6
2027-01-31 00:00:00.000,198.40249999999997,-9.194166666666668,4.854,5.273,110.0,10.1,29.2,4.16,268.2
2027-02-05 00:00:00.000,198.21999999999997,-9.181944444444444,4.768,5.265,115.3,9.8,29.1,6.71,277.3
2027-02-10 00:00:00.000,197.95291666666665,-9.136944444444444,4.685,5.256,120.6,9.3,29.1,9.37,281.5
2027-02-15 00:00:00.000,197.60041666666663,-9.058055555555557,4.606,5.248,126.0,8.8,29.0,12.02,283.8
2027-02-20 00:00:00.000,197.16541666666666,-8.945833333333333,4.531,5.239,131.5,8.1,29.0,14.62,285.3
2027-05-16 00:00:00.000,184.46791666666664,-4.341666666666667,4.333,5.057,131.2,8.6,28.7,16.22,292.3
2027-05-21 00:00:00.000,184.00583333333333,-4.152222222222223,4.383,5.044,125.9,9.3,28.7,13.67,292.4
2027-05-26 00:00:00.000,183.62374999999997,-3.9944444444444445,4.438,5.031,120.7,10.0,28.8,11.05,292.6
2027-05-31 00:00:00.000,183.32416666666663,-3.8697222222222223,4.496,5.018,115.6,10.5,28.8,8.38,292.7
2027-06-05 00:00:00.000,183.1070833333333,-3.779166666666667,4.557,5.004,110.6,10.9,28.8,5.69,292.8
2027-06-10 00:00:00.000,182.9733333333333,-3.722777777777778,4.62,4.991,105.6,11.3,28.8,3.02,292.9
2027-06-15 00:00:00.000,182.92041666666663,-3.700555555555556,4.686,4.977,100.8,11.6,28.8,0.42,292.8
2027-06-20 00:00:00.000,182.94666666666666,-3.7119444444444447,4.752,4.963,96.1,11.7,28.8,2.11,113.1
2027-06-25 00:00:00.000,183.04916666666662,-3.7555555555555555,4.818,4.949,91.4,11.8,28.9,4.55,113.2
2027-06-30 00:00:00.000,183.22541666666663,-3.831111111111111,4.885,4.934,86.8,11.9,28.9,6.91,113.3
