Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-10-19 00:00:00.000,122.36374999999998,29.45722222222222,3.588,3.671,86.9,15.7,14.4,25.21,79.6
2023-10-24 00:00:00.000,123.26958333333332,29.623055555555556,3.506,3.663,91.1,15.8,14.4,23.1,76.5
2023-10-29 00:00:00.000,124.08458333333333,29.817777777777778,3.425,3.654,95.3,15.7,14.3,20.94,72.5
2023-11-03 00:00:00.000,124.80166666666663,30.04361111111111,3.344,3.645,99.7,15.6,14.2,18.76,67.2
2023-11-08 00:00:00.000,125.41416666666665,30.302500000000002,3.265,3.636,104.1,15.3,14.2,16.63,60.1
2023-11-13 00:00:00.000,125.91291666666665,30.59611111111111,3.187,3.627,108.7,15.0,14.1,14.7,50.6
2023-11-18 00:00:00.000,126.2908333333333,30.92527777777778,3.111,3.619,113.4,14.5,14.0,13.2,38.0
2023-11-23 00:00:00.000,126.54208333333332,31.289722222222224,3.037,3.61,118.1,14.0,14.0,12.4,22.6
2023-11-28 00:00:00.000,126.66124999999998,31.688055555555557,2.967,3.601,123.0,13.3,13.9,12.5,6.0
2023-12-03 00:00:00.000,126.64291666666666,32.117777777777775,2.901,3.592,127.9,12.5,13.9,13.52,350.4
2023-12-08 00:00:00.000,126.48291666666663,32.57527777777778,2.839,3.583,132.9,11.6,13.8,15.27,337.4
2024-02-26 00:00:00.000,113.62708333333332,37.32638888888889,2.716,3.447,130.9,12.5,13.5,10.85,254.3
2024-03-02 00:00:00.000,113.26541666666665,37.20666666666667,2.762,3.438,125.9,13.5,13.6,8.01,238.3
2024-03-07 00:00:00.000,113.05833333333331,37.04722222222222,2.811,3.43,121.1,14.3,13.6,6.16,210.1
2024-03-12 00:00:00.000,113.00833333333333,36.85305555555556,2.863,3.422,116.3,15.1,13.6,6.34,173.8
2024-03-17 00:00:00.000,113.11458333333331,36.62861111111111,2.919,3.414,111.7,15.7,13.7,8.4,148.3
2024-03-22 00:00:00.000,113.37291666666665,36.378055555555555,2.976,3.406,107.2,16.2,13.7,11.24,134.5
2024-03-27 00:00:00.000,113.77624999999999,36.10472222222222,3.035,3.398,102.7,16.6,13.7,14.29,126.6
2024-04-01 00:00:00.000,114.31791666666666,35.81111111111111,3.095,3.39,98.5,17.0,13.8,17.36,121.6
2024-04-06 00:00:00.000,114.99,35.49916666666667,3.157,3.382,94.3,17.2,13.8,20.37,118.2
2024-04-11 00:00:00.000,115.785,35.17027777777778,3.218,3.374,90.2,17.3,13.8,23.26,115.8
2024-04-16 00:00:00.000,116.69499999999998,34.825,3.28,3.366,86.2,17.3,13.9,25.99,114.0
2025-01-06 00:00:00.000,202.97291666666666,4.680833333333334,2.993,3.088,86.2,18.5,13.3,32.93,101.8
2025-01-11 00:00:00.000,204.00916666666663,4.4775,2.923,3.086,90.1,18.6,13.2,30.21,100.4
2025-01-16 00:00:00.000,204.95791666666665,4.3180555555555555,2.853,3.084,94.1,18.5,13.2,27.32,98.7
2025-01-21 00:00:00.000,205.8120833333333,4.203055555555555,2.784,3.083,98.2,18.4,13.1,24.22,96.6
2025-01-26 00:00:00.000,206.56375,4.133055555555555,2.716,3.081,102.4,18.2,13.1,20.93,93.9
2025-01-31 00:00:00.000,207.20499999999998,4.108333333333333,2.648,3.08,106.7,17.8,13.0,17.46,90.2
2025-02-05 00:00:00.000,207.72833333333332,4.128055555555555,2.583,3.079,111.1,17.4,12.9,13.89,84.9
2025-02-10 00:00:00.000,208.12791666666664,4.19,2.52,3.078,115.6,16.8,12.9,10.35,76.2
2025-02-15 00:00:00.000,208.3983333333333,4.291944444444444,2.459,3.077,120.2,16.1,12.8,7.1,59.3
2025-02-20 00:00:00.000,208.5345833333333,4.430833333333334,2.402,3.077,124.9,15.3,12.8,5.11,23.4
2025-02-25 00:00:00.000,208.53291666666667,4.603055555555555,2.348,3.076,129.7,14.3,12.7,6.01,339.1
2025-03-02 00:00:00.000,208.39124999999996,4.803333333333333,2.298,3.076,134.6,13.3,12.7,8.97,315.2
2025-05-21 00:00:00.000,197.10499999999996,5.2675,2.314,3.092,132.7,13.9,12.7,16.17,224.1
2025-05-26 00:00:00.000,196.79,4.85361111111111,2.365,3.094,128.1,14.9,12.8,15.2,209.8
2025-05-31 00:00:00.000,196.59999999999997,4.389444444444445,2.42,3.097,123.5,15.9,12.8,15.12,194.5
2025-06-05 00:00:00.000,196.53624999999997,3.879166666666667,2.478,3.099,119.0,16.6,12.9,15.95,180.2
2025-06-10 00:00:00.000,196.59624999999997,3.3277777777777775,2.539,3.102,114.6,17.3,12.9,17.49,168.1
2025-06-15 00:00:00.000,196.77624999999998,2.74,2.602,3.105,110.3,17.9,13.0,19.5,158.5
2025-06-20 00:00:00.000,197.07166666666663,2.1194444444444445,2.668,3.108,106.1,18.3,13.1,21.79,151.0
2025-06-25 00:00:00.000,197.47875,1.4697222222222224,2.735,3.111,102.1,18.6,13.1,24.23,145.2
2025-06-30 00:00:00.000,197.9920833333333,0.7944444444444444,2.804,3.114,98.1,18.9,13.2,26.68,140.6
2025-07-05 00:00:00.000,198.6058333333333,0.09666666666666666,2.874,3.118,94.2,19.0,13.2,29.07,136.9
2025-07-10 00:00:00.000,199.31375,-0.6197222222222223,2.944,3.121,90.4,19.0,13.3,31.35,133.9
2025-07-15 00:00:00.000,200.10999999999999,-1.3519444444444446,3.014,3.125,86.7,18.9,13.3,33.53,131.4
2026-03-27 00:00:00.000,280.07666666666665,-27.73611111111111,3.36,3.455,87.0,16.8,14.0,26.14,105.5
2026-04-01 00:00:00.000,280.97499999999997,-27.975277777777777,3.296,3.464,91.2,16.8,14.0,23.62,108.2
2026-04-06 00:00:00.000,281.76916666666665,-28.227777777777778,3.232,3.472,95.4,16.7,14.0,21.05,111.8
2026-04-11 00:00:00.000,282.4520833333333,-28.495833333333334,3.168,3.48,99.7,16.5,13.9,18.46,116.7
2026-04-16 00:00:00.000,283.0179166666666,-28.78111111111111,3.105,3.489,104.1,16.2,13.9,15.93,123.6
2026-04-21 00:00:00.000,283.45916666666665,-29.084444444444443,3.044,3.497,108.6,15.8,13.9,13.64,133.4
2026-04-26 00:00:00.000,283.77208333333334,-29.40611111111111,2.985,3.506,113.2,15.3,13.8,11.84,147.0
2026-05-01 00:00:00.000,283.9525,-29.745833333333334,2.929,3.515,117.9,14.7,13.8,10.86,164.3
2026-05-06 00:00:00.000,283.9970833333333,-30.102500000000003,2.875,3.523,122.7,13.9,13.8,10.96,183.3
2026-05-11 00:00:00.000,283.90291666666667,-30.474166666666665,2.825,3.532,127.5,13.1,13.7,12.11,200.5
2026-05-16 00:00:00.000,283.66958333333326,-30.858055555555556,2.779,3.541,132.5,12.2,13.7,14.03,213.8
2026-08-09 00:00:00.000,270.4133333333333,-34.626111111111115,2.921,3.69,133.2,11.6,14.0,8.42,277.1
2026-08-14 00:00:00.000,270.1424999999999,-34.58305555555556,2.984,3.699,128.4,12.4,14.1,5.23,287.1
2026-08-19 00:00:00.000,270.00874999999996,-34.52472222222222,3.051,3.708,123.6,13.1,14.1,2.51,320.3
2026-08-24 00:00:00.000,270.0120833333333,-34.455000000000005,3.121,3.717,118.9,13.8,14.2,2.84,38.0
2026-08-29 00:00:00.000,270.14874999999995,-34.37638888888889,3.195,3.726,114.3,14.3,14.2,5.58,63.8
2026-09-03 00:00:00.000,270.41499999999996,-34.29111111111111,3.27,3.735,109.8,14.7,14.3,8.59,72.1
2026-09-08 00:00:00.000,270.80625,-34.20055555555556,3.348,3.744,105.4,15.0,14.4,11.57,76.1
2026-09-13 00:00:00.000,271.31833333333327,-34.10583333333334,3.427,3.753,101.0,15.3,14.4,14.46,78.4
2026-09-18 00:00:00.000,271.9445833333333,-34.007222222222225,3.508,3.761,96.8,15.4,14.5,17.21,79.9
2026-09-23 00:00:00.000,272.67875,-33.90555555555555,3.589,3.77,92.6,15.4,14.5,19.8,81.0
2026-09-28 00:00:00.000,273.5129166666666,-33.80027777777777,3.671,3.779,88.5,15.4,14.6,22.23,81.7
2027-05-21 00:00:00.000,339.05625,-23.88,4.077,4.163,87.8,14.1,15.2,19.44,94.5
2027-05-26 00:00:00.000,339.72375,-23.95,4.012,4.17,91.9,14.0,15.2,17.42,98.8
2027-05-31 00:00:00.000,340.31041666666664,-24.058611111111112,3.946,4.177,96.1,14.0,15.2,15.4,104.5
2027-06-05 00:00:00.000,340.8108333333333,-24.206944444444442,3.881,4.185,100.4,13.8,15.2,13.46,112.0
2027-06-10 00:00:00.000,341.22124999999994,-24.39472222222222,3.818,4.192,104.7,13.5,15.1,11.74,122.1
2027-06-15 00:00:00.000,341.5383333333333,-24.621944444444445,3.756,4.199,109.1,13.2,15.1,10.41,135.2
2027-06-20 00:00:00.000,341.75833333333327,-24.886666666666667,3.696,4.206,113.5,12.8,15.1,9.69,151.3
