Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-08-15 00:00:00.000,272.70416666666665,-29.502777777777776,2.956,3.695,130.5,12.0,23.0,6.66,319.7
2023-08-20 00:00:00.000,272.6033333333333,-29.33222222222222,3.032,3.713,125.6,12.8,23.1,5.24,349.3
2023-08-25 00:00:00.000,272.62916666666666,-29.160277777777775,3.11,3.732,120.9,13.4,23.2,5.66,24.1
2023-08-30 00:00:00.000,272.7783333333333,-28.988333333333333,3.192,3.75,116.2,14.0,23.3,7.53,46.8
2023-09-04 00:00:00.000,273.0458333333333,-28.81722222222222,3.277,3.768,111.7,14.4,23.3,9.95,59.1
2023-09-09 00:00:00.000,273.4262499999999,-28.6475,3.364,3.787,107.2,14.7,23.4,12.54,66.1
2023-09-14 00:00:00.000,273.91499999999996,-28.479166666666664,3.453,3.805,102.8,14.9,23.5,15.13,70.6
2023-09-19 00:00:00.000,274.50666666666666,-28.311944444444446,3.544,3.823,98.5,15.1,23.6,17.64,73.5
2023-09-24 00:00:00.000,275.1941666666666,-28.145,3.635,3.841,94.2,15.1,23.6,20.03,75.5
2023-09-29 00:00:00.000,275.9708333333333,-27.977777777777778,3.727,3.86,90.0,15.0,23.7,22.27,77.0
2023-10-04 00:00:00.000,276.8295833333333,-27.809444444444445,3.819,3.878,85.9,14.9,23.8,24.37,78.0
2024-05-16 00:00:00.000,330.19458333333324,-14.891388888888889,4.571,4.65,88.2,12.6,25.0,13.07,70.0
2024-05-21 00:00:00.000,330.58,-14.755833333333333,4.509,4.666,92.6,12.5,25.0,10.69,70.0
2024-05-26 00:00:00.000,330.88624999999996,-14.647499999999999,4.447,4.682,97.1,12.4,24.9,8.24,69.9
2024-05-31 00:00:00.000,331.1120833333333,-14.567499999999999,4.386,4.698,101.7,12.2,24.9,5.7,69.8
2024-06-05 00:00:00.000,331.25374999999997,-14.516666666666667,4.326,4.713,106.3,11.9,24.9,3.08,69.3
2024-06-10 00:00:00.000,331.30999999999995,-14.495277777777776,4.268,4.729,111.0,11.6,24.9,0.42,62.2
2024-06-15 00:00:00.000,331.2795833333333,-14.503333333333334,4.212,4.744,115.8,11.1,24.9,2.25,252.3
2024-06-20 00:00:00.000,331.16249999999997,-14.540555555555555,4.159,4.759,120.7,10.6,24.9,4.89,251.6
2024-06-25 00:00:00.000,330.96,-14.605833333333333,4.11,4.775,125.7,10.0,24.9,7.49,251.6
2024-06-30 00:00:00.000,330.67333333333335,-14.698055555555555,4.064,4.79,130.7,9.3,24.8,10.04,251.7
2024-09-28 00:00:00.000,319.8204166666666,-17.42138888888889,4.327,5.051,131.8,8.5,25.2,8.95,265.4
2024-10-03 00:00:00.000,319.55041666666665,-17.43277777777778,4.403,5.064,126.6,9.1,25.3,6.53,270.4
2024-10-08 00:00:00.000,319.3645833333333,-17.41888888888889,4.484,5.078,121.5,9.7,25.3,4.18,280.9
2024-10-13 00:00:00.000,319.26374999999996,-17.380277777777778,4.567,5.092,116.5,10.1,25.4,2.26,312.4
2024-10-18 00:00:00.000,319.24791666666664,-17.3175,4.654,5.105,111.6,10.5,25.4,2.35,18.1
2024-10-23 00:00:00.000,319.3141666666666,-17.231388888888887,4.743,5.119,106.7,10.7,25.5,4.25,46.5
2024-10-28 00:00:00.000,319.46166666666664,-17.122777777777777,4.835,5.132,101.9,10.9,25.5,6.46,56.2
2024-11-02 00:00:00.000,319.68791666666664,-16.991944444444446,4.927,5.145,97.1,11.0,25.6,8.7,60.7
2024-11-07 00:00:00.000,319.98999999999995,-16.839444444444442,5.021,5.159,92.4,11.1,25.6,10.88,63.3
2024-11-12 00:00:00.000,320.36375,-16.66638888888889,5.114,5.172,87.8,11.0,25.7,12.95,64.9
2025-06-10 00:00:00.000,352.9091666666666,-2.7866666666666666,5.619,5.651,86.6,10.3,26.3,9.96,60.8
2025-06-15 00:00:00.000,353.1695833333333,-2.6372222222222224,5.549,5.661,91.1,10.3,26.2,8.02,59.2
2025-06-20 00:00:00.000,353.36791666666664,-2.5130555555555554,5.479,5.67,95.7,10.3,26.2,6.01,56.3
2025-06-25 00:00:00.000,353.50249999999994,-2.4155555555555557,5.41,5.68,100.3,10.1,26.2,3.96,50.5
2025-06-30 00:00:00.000,353.57124999999996,-2.345277777777778,5.341,5.689,105.0,9.9,26.2,1.99,32.0
2025-07-05 00:00:00.000,353.57291666666663,-2.3030555555555554,5.275,5.698,109.7,9.7,26.2,1.28,311.4
2025-07-10 00:00:00.000,353.5070833333333,-2.2891666666666666,5.21,5.708,114.5,9.3,26.1,2.98,270.0
2025-07-15 00:00:00.000,353.37375,-2.3030555555555554,5.149,5.717,119.4,8.9,26.1,5.07,260.4
2025-07-20 00:00:00.000,353.17375,-2.345277777777778,5.09,5.726,124.4,8.4,26.1,7.2,256.4
2025-07-25 00:00:00.000,352.90749999999997,-2.4155555555555557,5.036,5.735,129.4,7.9,26.1,9.3,254.3
2025-07-30 00:00:00.000,352.5770833333333,-2.5125,4.986,5.744,134.6,7.2,26.1,11.31,253.0
2025-10-23 00:00:00.000,343.5012499999999,-5.7363888888888885,5.159,5.884,133.1,7.1,26.3,9.82,250.6
2025-10-28 00:00:00.000,343.22375,-5.831944444444444,5.23,5.892,127.8,7.7,26.3,7.7,251.2
2025-11-02 00:00:00.000,343.01374999999996,-5.901666666666667,5.305,5.899,122.6,8.1,26.3,5.52,252.2
2025-11-07 00:00:00.000,342.87166666666667,-5.9447222222222225,5.384,5.907,117.5,8.6,26.4,3.32,254.5
2025-11-12 00:00:00.000,342.7991666666667,-5.960833333333333,5.466,5.914,112.4,8.9,26.4,1.15,266.1
2025-11-17 00:00:00.000,342.79499999999996,-5.949722222222222,5.551,5.921,107.3,9.2,26.4,1.17,51.0
2025-11-22 00:00:00.000,342.8595833333333,-5.911666666666667,5.638,5.928,102.4,9.4,26.5,3.31,62.2
2025-11-27 00:00:00.000,342.99083333333334,-5.8469444444444445,5.726,5.935,97.5,9.5,26.5,5.43,64.5
2025-12-02 00:00:00.000,343.1870833333333,-5.756388888888889,5.815,5.942,92.6,9.5,26.6,7.47,65.5
