Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-26 00:00:00.000,36.2425,9.0625,2.268,2.412,85.6,24.8,15.6,36.08,70.1
2023-07-31 00:00:00.000,37.3275,9.449444444444445,2.229,2.436,89.2,24.6,15.6,32.2,70.1
2023-08-05 00:00:00.000,38.28666666666666,9.792222222222222,2.19,2.46,93.0,24.3,15.6,28.12,70.0
2023-08-10 00:00:00.000,39.11208333333333,10.090555555555556,2.15,2.485,96.9,23.9,15.6,23.79,69.7
2023-08-15 00:00:00.000,39.79416666666666,10.343611111111112,2.111,2.509,100.9,23.4,15.6,19.21,68.9
2023-08-20 00:00:00.000,40.32416666666666,10.551666666666668,2.072,2.533,105.2,22.7,15.6,14.43,67.3
2023-08-25 00:00:00.000,40.69499999999999,10.715,2.035,2.557,109.6,21.9,15.6,9.51,63.6
2023-08-30 00:00:00.000,40.90083333333333,10.83388888888889,1.998,2.581,114.1,20.9,15.6,4.62,50.9
2023-09-04 00:00:00.000,40.937083333333334,10.909444444444444,1.964,2.606,118.9,19.8,15.6,2.18,317.6
2023-09-09 00:00:00.000,40.8,10.94138888888889,1.932,2.63,123.8,18.6,15.6,6.62,272.8
2023-09-14 00:00:00.000,40.48833333333334,10.931111111111111,1.904,2.654,129.0,17.1,15.6,11.78,265.5
2023-09-19 00:00:00.000,40.004999999999995,10.880277777777778,1.878,2.679,134.3,15.6,15.6,16.83,262.8
2023-12-08 00:00:00.000,25.492499999999996,9.015,2.314,3.058,131.6,13.9,16.7,8.42,291.4
2023-12-13 00:00:00.000,25.300416666666663,9.139722222222222,2.393,3.081,126.4,14.9,16.8,5.67,321.0
2023-12-18 00:00:00.000,25.250416666666663,9.308055555555557,2.476,3.103,121.3,15.7,16.9,5.72,5.8
2023-12-23 00:00:00.000,25.3375,9.518055555555556,2.562,3.126,116.4,16.4,17.0,8.24,33.3
2023-12-28 00:00:00.000,25.553749999999994,9.766388888888889,2.651,3.149,111.6,16.9,17.1,11.48,45.8
2024-01-02 00:00:00.000,25.891666666666666,10.050277777777778,2.742,3.171,106.9,17.3,17.2,14.78,52.4
2024-01-07 00:00:00.000,26.344166666666663,10.366944444444444,2.835,3.193,102.3,17.5,17.3,17.97,56.3
2024-01-12 00:00:00.000,26.903333333333325,10.71361111111111,2.929,3.215,97.9,17.6,17.4,20.99,59.0
2024-01-17 00:00:00.000,27.5625,11.087222222222223,3.024,3.237,93.5,17.7,17.5,23.8,60.9
2024-01-22 00:00:00.000,28.312916666666663,11.484444444444444,3.12,3.259,89.3,17.6,17.6,26.35,62.3
2024-01-27 00:00:00.000,29.147499999999997,11.902222222222223,3.215,3.281,85.1,17.4,17.7,28.67,63.5
2024-09-18 00:00:00.000,89.62208333333332,27.028333333333332,4.083,4.129,85.6,14.0,19.2,14.84,75.2
2024-09-23 00:00:00.000,90.11041666666665,27.15611111111111,4.019,4.143,90.0,14.0,19.2,12.34,71.7
2024-09-28 00:00:00.000,90.49791666666665,27.28666666666667,3.955,4.157,94.6,13.9,19.2,9.77,66.1
2024-10-03 00:00:00.000,90.77874999999999,27.42027777777778,3.892,4.171,99.2,13.7,19.2,7.25,55.9
2024-10-08 00:00:00.000,90.94749999999999,27.5575,3.829,4.185,104.0,13.4,19.1,5.11,35.4
2024-10-13 00:00:00.000,90.99999999999999,27.6975,3.768,4.198,108.9,13.0,19.1,4.25,357.7
2024-10-18 00:00:00.000,90.93416666666664,27.840277777777775,3.709,4.212,113.9,12.5,19.1,5.46,322.1
2024-10-23 00:00:00.000,90.74666666666666,27.984444444444446,3.652,4.225,119.0,11.9,19.1,7.88,303.3
2024-10-28 00:00:00.000,90.43708333333333,28.128333333333334,3.599,4.238,124.2,11.2,19.1,10.72,293.6
2024-11-02 00:00:00.000,90.00458333333331,28.27027777777778,3.55,4.251,129.5,10.4,19.0,13.68,287.9
2025-01-26 00:00:00.000,75.33833333333332,28.51888888888889,3.741,4.448,130.9,9.6,19.3,11.96,257.8
2025-01-31 00:00:00.000,74.95374999999999,28.43638888888889,3.813,4.458,125.5,10.4,19.4,8.92,254.3
2025-02-05 00:00:00.000,74.6875,28.359166666666667,3.89,4.469,120.2,11.0,19.5,5.9,247.9
2025-02-10 00:00:00.000,74.53875,28.289166666666667,3.97,4.478,115.1,11.5,19.5,3.11,230.5
2025-02-15 00:00:00.000,74.50458333333333,28.227777777777778,4.053,4.488,110.0,11.9,19.6,1.81,161.0
2025-02-20 00:00:00.000,74.58208333333333,28.175555555555558,4.138,4.498,105.1,12.3,19.6,3.76,112.2
2025-02-25 00:00:00.000,74.76625,28.133333333333333,4.225,4.507,100.2,12.5,19.7,6.36,100.2
