Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-16 00:00:00.000,239.7566666666666,-28.935555555555556,9.659,10.343,130.1,4.3,26.1,6.48,293.9
2023-07-21 00:00:00.000,239.55166666666662,-28.85,9.731,10.351,125.2,4.6,26.1,5.44,297.3
2023-07-26 00:00:00.000,239.38874999999996,-28.769166666666667,9.807,10.358,120.4,4.9,26.1,4.39,302.3
2023-07-31 00:00:00.000,239.2695833333333,-28.69388888888889,9.887,10.365,115.6,5.1,26.1,3.36,310.2
2023-08-05 00:00:00.000,239.19416666666666,-28.625,9.969,10.372,110.8,5.2,26.2,2.42,324.5
2023-08-10 00:00:00.000,239.16291666666666,-28.56277777777778,10.055,10.38,106.0,5.4,26.2,1.77,352.2
2023-08-15 00:00:00.000,239.17583333333332,-28.508333333333333,10.142,10.387,101.2,5.5,26.2,1.78,31.5
2023-08-20 00:00:00.000,239.23333333333332,-28.461944444444445,10.23,10.394,96.5,5.6,26.2,2.45,58.7
2023-08-25 00:00:00.000,239.33416666666665,-28.42361111111111,10.32,10.401,91.8,5.6,26.2,3.38,72.5
2023-08-30 00:00:00.000,239.47749999999996,-28.394166666666667,10.409,10.408,87.2,5.6,26.3,4.4,80.0
2024-03-07 00:00:00.000,256.2025,-30.895555555555553,10.631,10.652,88.5,5.3,26.4,4.03,126.9
2024-03-12 00:00:00.000,256.30541666666664,-30.974999999999998,10.553,10.658,93.4,5.3,26.4,3.11,138.8
2024-03-17 00:00:00.000,256.3616666666666,-31.051111111111112,10.475,10.664,98.2,5.3,26.4,2.4,159.0
2024-03-22 00:00:00.000,256.3720833333333,-31.12388888888889,10.398,10.669,103.1,5.2,26.4,2.15,188.8
2024-03-27 00:00:00.000,256.33624999999995,-31.1925,10.323,10.675,108.1,5.1,26.4,2.5,217.2
2024-04-01 00:00:00.000,256.2541666666666,-31.25638888888889,10.25,10.681,113.0,4.9,26.3,3.26,235.6
2024-04-06 00:00:00.000,256.1266666666666,-31.31527777777778,10.18,10.686,118.0,4.7,26.3,4.2,246.4
2024-04-11 00:00:00.000,255.9545833333333,-31.368055555555557,10.114,10.692,122.9,4.5,26.3,5.19,253.3
2024-04-16 00:00:00.000,255.73916666666665,-31.41444444444444,10.051,10.697,127.9,4.2,26.3,6.18,257.9
2024-04-21 00:00:00.000,255.48333333333326,-31.453888888888887,9.993,10.703,132.9,3.9,26.3,7.13,261.4
2024-07-20 00:00:00.000,248.46708333333328,-30.816666666666666,10.074,10.796,133.3,3.9,26.3,6.98,290.0
2024-07-25 00:00:00.000,248.23208333333332,-30.7375,10.14,10.801,128.4,4.2,26.4,6.04,292.9
2024-07-30 00:00:00.000,248.03624999999997,-30.66,10.211,10.806,123.6,4.5,26.4,5.06,296.9
2024-08-04 00:00:00.000,247.88249999999994,-30.584999999999997,10.286,10.811,118.7,4.7,26.4,4.07,302.8
2024-08-09 00:00:00.000,247.77166666666662,-30.513333333333332,10.365,10.815,113.9,4.9,26.4,3.11,312.2
2024-08-14 00:00:00.000,247.7045833333333,-30.445833333333333,10.446,10.82,109.1,5.1,26.4,2.28,329.1
2024-08-19 00:00:00.000,247.68124999999998,-30.383055555555558,10.53,10.825,104.3,5.2,26.5,1.8,358.8
2024-08-24 00:00:00.000,247.70166666666665,-30.325555555555557,10.615,10.829,99.6,5.3,26.5,1.97,33.6
2024-08-29 00:00:00.000,247.765,-30.273888888888887,10.702,10.834,94.8,5.3,26.5,2.64,56.5
2024-09-03 00:00:00.000,247.87166666666664,-30.22861111111111,10.789,10.839,90.1,5.3,26.5,3.55,69.0
2024-09-08 00:00:00.000,248.02041666666668,-30.189444444444444,10.876,10.843,85.5,5.3,26.5,4.52,76.2
2025-03-12 00:00:00.000,264.21958333333333,-31.71611111111111,11.009,10.99,86.3,5.2,26.6,4.32,120.7
2025-03-17 00:00:00.000,264.34333333333336,-31.789444444444445,10.928,10.993,91.1,5.2,26.6,3.4,130.1
2025-03-22 00:00:00.000,264.42291666666665,-31.861944444444447,10.848,10.996,96.0,5.2,26.6,2.61,146.0
2025-03-27 00:00:00.000,264.4575,-31.933611111111112,10.768,11.0,100.9,5.1,26.6,2.14,171.9
2025-04-01 00:00:00.000,264.44666666666666,-32.00333333333333,10.69,11.003,105.7,5.0,26.6,2.24,202.7
2025-04-06 00:00:00.000,264.39,-32.071111111111115,10.613,11.006,110.7,4.9,26.5,2.83,225.3
