Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,351.815,3.6872222222222226,4.496,4.852,104.6,11.7,31.1,0.96,292.4
2023-07-06 00:00:00.000,351.74499999999995,3.680833333333333,4.428,4.861,109.4,11.4,31.1,3.38,257.1
2023-07-11 00:00:00.000,351.59416666666664,3.636388888888889,4.362,4.869,114.3,11.0,31.1,6.06,251.5
2023-07-16 00:00:00.000,351.36125,3.552222222222222,4.3,4.877,119.2,10.5,31.0,8.78,249.1
2023-07-21 00:00:00.000,351.04666666666657,3.4274999999999998,4.24,4.885,124.3,9.9,31.0,11.49,247.7
2023-07-26 00:00:00.000,350.6525,3.261388888888889,4.184,4.893,129.4,9.2,31.0,14.13,246.6
2023-07-31 00:00:00.000,350.1816666666666,3.0541666666666667,4.133,4.9,134.7,8.5,31.0,16.67,245.8
2023-10-19 00:00:00.000,339.15791666666667,-3.274722222222222,4.246,4.992,134.3,8.2,31.1,16.1,229.9
2023-10-24 00:00:00.000,338.7879166666666,-3.604166666666667,4.312,4.997,128.9,8.9,31.2,13.6,226.3
2023-10-29 00:00:00.000,338.50124999999997,-3.9002777777777777,4.382,5.0,123.6,9.5,31.2,11.11,221.2
2023-11-03 00:00:00.000,338.29875,-4.161111111111111,4.457,5.004,118.3,10.1,31.2,8.72,213.3
2023-11-08 00:00:00.000,338.18125,-4.386111111111112,4.535,5.008,113.1,10.5,31.3,6.6,199.9
2023-11-13 00:00:00.000,338.1483333333333,-4.5744444444444445,4.615,5.011,108.0,10.8,31.3,5.1,177.0
2023-11-18 00:00:00.000,338.19874999999996,-4.725833333333333,4.698,5.014,103.0,11.1,31.4,4.83,145.7
2023-11-23 00:00:00.000,338.3295833333333,-4.8405555555555555,4.782,5.017,98.0,11.2,31.4,5.86,119.7
2023-11-28 00:00:00.000,338.53791666666666,-4.919722222222222,4.867,5.02,93.2,11.3,31.4,7.58,104.1
2023-12-03 00:00:00.000,338.81999999999994,-4.964166666666667,4.953,5.022,88.4,11.3,31.5,9.53,95.0
2024-06-30 00:00:00.000,10.853333333333332,4.841944444444444,4.909,4.952,86.5,11.8,31.4,9.92,81.5
2024-07-05 00:00:00.000,11.14833333333333,4.875000000000001,4.823,4.946,91.0,11.9,31.4,7.82,86.2
2024-07-10 00:00:00.000,11.374166666666666,4.875555555555556,4.737,4.94,95.5,11.8,31.3,5.71,94.9
2024-07-15 00:00:00.000,11.527916666666666,4.8422222222222215,4.652,4.934,100.2,11.7,31.3,3.81,113.7
2024-07-20 00:00:00.000,11.606666666666666,4.773333333333333,4.567,4.927,104.9,11.5,31.2,2.87,155.2
2024-07-25 00:00:00.000,11.6075,4.668055555555556,4.484,4.921,109.7,11.2,31.2,3.89,197.3
2024-07-30 00:00:00.000,11.528333333333334,4.525277777777777,4.403,4.914,114.6,10.8,31.1,6.04,216.5
2024-08-04 00:00:00.000,11.366666666666665,4.344166666666666,4.325,4.907,119.6,10.4,31.1,8.56,225.3
2024-08-09 00:00:00.000,11.121666666666664,4.123888888888889,4.251,4.9,124.7,9.8,31.0,11.19,230.0
2024-08-14 00:00:00.000,10.794166666666666,3.865,4.18,4.892,129.9,9.1,31.0,13.83,232.9
2024-11-07 00:00:00.000,359.13583333333327,-3.118888888888889,4.0,4.734,133.2,8.8,30.8,16.54,239.1
