Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,219.28291666666667,-33.30555555555555,11.774,12.41,126.8,3.8,31.3,8.63,297.4
2023-07-06 00:00:00.000,218.99624999999997,-33.17527777777777,11.852,12.421,122.1,4.0,31.3,7.73,299.8
2023-07-11 00:00:00.000,218.74874999999997,-33.05027777777777,11.933,12.433,117.4,4.2,31.3,6.8,302.6
2023-07-16 00:00:00.000,218.54041666666663,-32.93138888888889,12.018,12.445,112.7,4.3,31.3,5.86,306.1
2023-07-21 00:00:00.000,218.37249999999997,-32.82055555555556,12.105,12.456,108.0,4.5,31.4,4.92,310.6
2023-07-26 00:00:00.000,218.2445833333333,-32.718333333333334,12.195,12.468,103.3,4.5,31.4,4.0,316.9
2023-07-31 00:00:00.000,218.1558333333333,-32.626111111111115,12.286,12.479,98.6,4.6,31.4,3.14,326.2
2023-08-05 00:00:00.000,218.1058333333333,-32.544444444444444,12.379,12.49,94.0,4.6,31.4,2.41,341.1
2023-08-10 00:00:00.000,218.09374999999997,-32.47416666666667,12.472,12.502,89.4,4.7,31.4,1.94,4.9
2024-02-11 00:00:00.000,226.77249999999998,-36.56305555555555,12.912,12.898,87.0,4.4,31.7,5.03,197.5
2024-02-16 00:00:00.000,226.68874999999997,-36.71888888888889,12.839,12.908,91.8,4.4,31.7,5.21,208.9
2024-02-21 00:00:00.000,226.56333333333328,-36.86666666666667,12.767,12.918,96.6,4.4,31.6,5.55,219.3
2024-02-26 00:00:00.000,226.39583333333331,-37.00472222222222,12.695,12.928,101.5,4.3,31.6,6.02,228.5
2024-03-02 00:00:00.000,226.1870833333333,-37.13194444444444,12.625,12.938,106.3,4.2,31.6,6.6,236.4
2024-03-07 00:00:00.000,225.93666666666664,-37.24777777777778,12.557,12.948,111.1,4.1,31.6,7.25,243.1
2024-03-12 00:00:00.000,225.64624999999998,-37.35055555555556,12.492,12.958,116.0,4.0,31.6,7.94,248.7
2024-03-17 00:00:00.000,225.31708333333333,-37.439722222222215,12.431,12.968,120.8,3.8,31.6,8.64,253.5
2024-03-22 00:00:00.000,224.95166666666663,-37.513888888888886,12.373,12.978,125.5,3.6,31.6,9.33,257.6
2024-03-27 00:00:00.000,224.55249999999998,-37.572500000000005,12.32,12.988,130.3,3.4,31.6,9.99,261.2
2024-04-01 00:00:00.000,224.1220833333333,-37.615,12.273,12.997,134.9,3.1,31.6,10.62,264.5
2024-06-20 00:00:00.000,216.39124999999996,-36.282777777777774,12.43,13.149,133.4,3.2,31.7,9.48,298.7
