Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-09-04 00:00:00.000,69.14708333333331,26.1475,8.752,8.803,89.6,6.6,28.7,3.74,62.4
2023-09-09 00:00:00.000,69.24541666666666,26.202222222222222,8.671,8.804,94.3,6.6,28.6,2.5,51.4
2023-09-14 00:00:00.000,69.29166666666667,26.25111111111111,8.589,8.805,99.1,6.5,28.6,1.47,21.7
2023-09-19 00:00:00.000,69.28541666666666,26.293333333333337,8.509,8.806,104.0,6.4,28.6,1.46,322.8
2023-09-24 00:00:00.000,69.22583333333333,26.328611111111112,8.431,8.808,108.9,6.2,28.6,2.51,292.3
2023-09-29 00:00:00.000,69.11291666666665,26.35666666666667,8.355,8.809,113.9,6.0,28.6,3.82,281.0
2023-10-04 00:00:00.000,68.94666666666664,26.377222222222223,8.282,8.81,118.9,5.7,28.5,5.19,275.4
2023-10-09 00:00:00.000,68.72874999999999,26.389166666666664,8.212,8.811,124.0,5.4,28.5,6.56,272.1
2023-10-14 00:00:00.000,68.45916666666665,26.392777777777777,8.147,8.811,129.2,5.0,28.5,7.91,269.8
2023-10-19 00:00:00.000,68.14124999999999,26.38722222222222,8.086,8.812,134.4,4.6,28.5,9.19,268.1
2024-01-12 00:00:00.000,60.176249999999996,25.151944444444442,8.129,8.818,132.1,4.7,28.5,8.56,252.2
2024-01-17 00:00:00.000,59.90083333333333,25.067777777777778,8.194,8.818,126.7,5.1,28.5,7.21,250.3
2024-01-22 00:00:00.000,59.67708333333333,24.990555555555556,8.264,8.818,121.5,5.5,28.5,5.8,247.8
2024-01-27 00:00:00.000,59.506249999999994,24.921666666666667,8.338,8.817,116.2,5.7,28.6,4.38,243.7
2024-02-01 00:00:00.000,59.38875,24.861111111111114,8.415,8.817,111.1,6.0,28.6,2.98,235.8
2024-02-06 00:00:00.000,59.32541666666666,24.810277777777777,8.495,8.817,105.9,6.2,28.6,1.7,215.6
2024-02-11 00:00:00.000,59.31625,24.769166666666667,8.577,8.816,100.9,6.3,28.6,1.18,155.9
2024-02-16 00:00:00.000,59.36041666666666,24.738333333333333,8.66,8.816,95.9,6.4,28.6,2.08,111.8
2024-02-21 00:00:00.000,59.457499999999996,24.717499999999998,8.744,8.815,90.9,6.4,28.7,3.37,98.0
2024-02-26 00:00:00.000,59.605,24.706944444444442,8.828,8.814,86.0,6.4,28.7,4.7,92.0
2024-09-08 00:00:00.000,79.24166666666666,27.27111111111111,8.775,8.747,85.1,6.6,28.6,5.08,71.6
2024-09-13 00:00:00.000,79.39749999999998,27.323055555555555,8.69,8.744,89.8,6.6,28.6,3.8,66.3
2024-09-18 00:00:00.000,79.5025,27.372777777777777,8.604,8.741,94.6,6.6,28.6,2.54,55.4
2024-09-23 00:00:00.000,79.55458333333333,27.419444444444444,8.518,8.738,99.4,6.5,28.6,1.51,26.6
2024-09-28 00:00:00.000,79.55249999999998,27.462777777777777,8.434,8.735,104.3,6.4,28.5,1.47,328.0
2024-10-03 00:00:00.000,79.49541666666666,27.5025,8.352,8.732,109.2,6.2,28.5,2.52,296.7
2024-10-08 00:00:00.000,79.38291666666666,27.53805555555556,8.271,8.729,114.2,6.0,28.5,3.86,285.1
2024-10-13 00:00:00.000,79.21541666666666,27.569166666666668,8.194,8.726,119.3,5.7,28.5,5.25,279.4
2024-10-18 00:00:00.000,78.99374999999999,27.595277777777778,8.121,8.723,124.4,5.4,28.5,6.64,276.0
2024-10-23 00:00:00.000,78.71958333333333,27.615555555555556,8.051,8.719,129.6,5.0,28.4,7.99,273.7
