Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-10-14 00:00:00.000,112.56708333333333,4.1530555555555555,8.187,8.188,86.6,7.0,31.2,5.79,143.0
2023-10-19 00:00:00.000,112.65874999999998,4.001388888888889,8.108,8.189,91.2,7.0,31.2,4.89,156.1
2023-10-24 00:00:00.000,112.69916666666666,3.8555555555555556,8.029,8.191,95.9,6.9,31.2,4.29,174.0
2023-10-29 00:00:00.000,112.68833333333332,3.7175000000000002,7.951,8.192,100.6,6.8,31.1,4.17,195.4
2023-11-03 00:00:00.000,112.62499999999999,3.5883333333333334,7.875,8.194,105.4,6.7,31.1,4.59,215.7
2023-11-08 00:00:00.000,112.50916666666664,3.4697222222222224,7.8,8.195,110.2,6.5,31.1,5.44,231.6
2023-11-13 00:00:00.000,112.34083333333332,3.3633333333333333,7.728,8.196,115.0,6.3,31.1,6.55,242.9
2023-11-18 00:00:00.000,112.11999999999999,3.271111111111111,7.659,8.197,119.9,6.0,31.1,7.8,250.9
2023-11-23 00:00:00.000,111.84916666666665,3.1938888888888886,7.594,8.198,124.8,5.7,31.0,9.08,256.8
2023-11-28 00:00:00.000,111.53083333333332,3.133611111111111,7.533,8.199,129.7,5.3,31.0,10.36,261.4
2023-12-03 00:00:00.000,111.16666666666666,3.0908333333333333,7.478,8.2,134.6,4.9,31.0,11.59,265.1
2024-02-21 00:00:00.000,103.505,4.961666666666667,7.531,8.204,130.2,5.3,31.0,11.43,305.9
2024-02-26 00:00:00.000,103.21958333333333,5.1866666666666665,7.592,8.203,125.3,5.7,31.0,10.34,311.1
2024-03-02 00:00:00.000,102.98416666666665,5.41388888888889,7.657,8.203,120.4,6.0,31.1,9.27,317.5
2024-03-07 00:00:00.000,102.80041666666665,5.641388888888889,7.726,8.202,115.5,6.3,31.1,8.28,325.5
2024-03-12 00:00:00.000,102.66999999999997,5.867777777777778,7.799,8.202,110.6,6.5,31.1,7.43,335.4
2024-03-17 00:00:00.000,102.59333333333332,6.090833333333333,7.874,8.201,105.8,6.7,31.1,6.8,347.4
2024-03-22 00:00:00.000,102.57,6.309444444444444,7.951,8.2,101.0,6.8,31.1,6.47,0.9
2024-03-27 00:00:00.000,102.59958333333333,6.521944444444444,8.03,8.2,96.3,6.9,31.2,6.49,14.8
2024-04-01 00:00:00.000,102.68083333333331,6.7275,8.109,8.199,91.6,7.0,31.2,6.83,27.7
2024-04-06 00:00:00.000,102.81208333333332,6.924722222222223,8.189,8.198,87.0,7.0,31.2,7.42,38.8
2024-10-23 00:00:00.000,121.63041666666665,5.879444444444445,8.085,8.1,87.3,7.0,31.1,5.04,137.4
2024-10-28 00:00:00.000,121.71958333333332,5.760277777777778,8.0,8.096,92.0,7.0,31.1,3.93,151.1
2024-11-02 00:00:00.000,121.75750000000001,5.650555555555556,7.914,8.092,96.8,7.0,31.1,3.15,173.6
2024-11-07 00:00:00.000,121.74291666666664,5.551666666666667,7.829,8.087,101.6,6.9,31.0,3.04,203.8
2024-11-12 00:00:00.000,121.67541666666665,5.4655555555555555,7.746,8.083,106.5,6.7,31.0,3.69,229.7
2024-11-17 00:00:00.000,121.5545833333333,5.393055555555556,7.664,8.079,111.5,6.5,31.0,4.81,246.0
2024-11-22 00:00:00.000,121.38083333333331,5.335555555555556,7.586,8.075,116.5,6.3,31.0,6.15,256.0
2024-11-27 00:00:00.000,121.15499999999999,5.2941666666666665,7.511,8.07,121.5,6.0,30.9,7.59,262.6
2024-12-02 00:00:00.000,120.87791666666665,5.270277777777777,7.439,8.066,126.6,5.6,30.9,9.04,267.2
2024-12-07 00:00:00.000,120.55166666666665,5.265,7.373,8.061,131.6,5.2,30.9,10.45,270.7
2025-03-02 00:00:00.000,112.44291666666666,7.7427777777777775,7.297,7.972,130.2,5.5,30.8,11.28,306.5
2025-03-07 00:00:00.000,112.16333333333333,7.965833333333333,7.354,7.966,125.1,5.8,30.8,10.05,311.4
2025-03-12 00:00:00.000,111.93583333333333,8.185833333333333,7.416,7.96,120.1,6.2,30.9,8.85,317.6
