Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,219.8433333333333,-27.670555555555556,7.787,8.432,126.5,5.6,25.2,6.64,318.5
2023-07-06 00:00:00.000,219.70291666666662,-27.51,7.865,8.445,121.8,5.9,25.2,5.56,326.8
2023-07-11 00:00:00.000,219.61416666666662,-27.360833333333336,7.947,8.457,117.0,6.1,25.3,4.61,338.6
2023-07-16 00:00:00.000,219.5770833333333,-27.224166666666665,8.032,8.47,112.3,6.4,25.3,3.9,355.7
2023-07-21 00:00:00.000,219.5920833333333,-27.101666666666667,8.12,8.483,107.6,6.6,25.3,3.63,17.5
2023-07-26 00:00:00.000,219.65874999999997,-26.99361111111111,8.21,8.496,103.0,6.7,25.4,3.89,39.2
2023-07-31 00:00:00.000,219.7758333333333,-26.90111111111111,8.302,8.508,98.3,6.8,25.4,4.57,56.1
2023-08-05 00:00:00.000,219.94166666666666,-26.823888888888888,8.394,8.521,93.8,6.8,25.4,5.49,67.8
2023-08-10 00:00:00.000,220.15541666666664,-26.762777777777778,8.487,8.534,89.2,6.8,25.5,6.55,75.8
2024-02-21 00:00:00.000,241.44833333333327,-30.986666666666668,9.011,8.999,86.2,6.3,25.8,5.87,124.3
2024-02-26 00:00:00.000,241.61125,-31.093055555555555,8.939,9.01,90.9,6.3,25.8,4.67,131.3
2024-03-02 00:00:00.000,241.72124999999997,-31.191944444444445,8.868,9.021,95.8,6.3,25.8,3.56,142.9
2024-03-07 00:00:00.000,241.77791666666664,-31.28222222222222,8.797,9.033,100.6,6.2,25.8,2.68,163.6
2024-03-12 00:00:00.000,241.77999999999997,-31.36277777777778,8.727,9.044,105.5,6.1,25.8,2.36,195.8
2024-03-17 00:00:00.000,241.72791666666663,-31.433333333333334,8.659,9.055,110.5,5.9,25.8,2.82,226.1
2024-03-22 00:00:00.000,241.62208333333334,-31.49277777777778,8.594,9.066,115.4,5.7,25.7,3.75,244.5
2024-03-27 00:00:00.000,241.46374999999995,-31.540555555555557,8.532,9.077,120.4,5.4,25.7,4.86,255.1
2024-04-01 00:00:00.000,241.25499999999997,-31.575833333333332,8.473,9.088,125.3,5.1,25.7,6.03,261.8
2024-04-06 00:00:00.000,240.9975,-31.597777777777775,8.419,9.099,130.3,4.8,25.7,7.2,266.4
2024-07-05 00:00:00.000,233.50791666666663,-29.891111111111112,8.553,9.292,134.3,4.5,25.8,7.95,303.4
2024-07-10 00:00:00.000,233.27499999999998,-29.747500000000002,8.623,9.302,129.5,4.8,25.9,6.91,307.7
2024-07-15 00:00:00.000,233.08874999999995,-29.609444444444446,8.697,9.313,124.6,5.2,25.9,5.86,313.6
2024-07-20 00:00:00.000,232.95,-29.47833333333333,8.775,9.323,119.8,5.4,25.9,4.86,321.9
2024-07-25 00:00:00.000,232.85916666666665,-29.35527777777778,8.857,9.333,115.1,5.7,25.9,3.97,334.0
2024-07-30 00:00:00.000,232.81708333333333,-29.240833333333335,8.942,9.343,110.3,5.8,26.0,3.32,352.0
2024-08-04 00:00:00.000,232.82416666666666,-29.136666666666667,9.03,9.354,105.6,6.0,26.0,3.09,15.4
2024-08-09 00:00:00.000,232.87958333333333,-29.04277777777778,9.119,9.364,100.9,6.1,26.0,3.38,38.3
2024-08-14 00:00:00.000,232.98333333333332,-28.960277777777776,9.209,9.374,96.2,6.2,26.0,4.06,55.4
2024-08-19 00:00:00.000,233.13416666666666,-28.88888888888889,9.301,9.384,91.6,6.2,26.1,4.96,66.7
2024-08-24 00:00:00.000,233.32999999999998,-28.829166666666666,9.392,9.394,87.0,6.2,26.1,5.96,74.2
2025-03-02 00:00:00.000,252.61874999999995,-31.270555555555553,9.767,9.754,86.3,5.8,26.3,5.02,117.3
2025-03-07 00:00:00.000,252.76791666666665,-31.345277777777778,9.693,9.763,91.1,5.8,26.3,3.87,124.3
2025-03-12 00:00:00.000,252.86791666666667,-31.415555555555553,9.618,9.772,96.0,5.8,26.3,2.8,136.7
2025-03-17 00:00:00.000,252.91791666666668,-31.480833333333333,9.544,9.781,100.9,5.7,26.3,1.99,161.3
2025-03-22 00:00:00.000,252.91750000000002,-31.540833333333335,9.472,9.789,105.7,5.6,26.3,1.83,201.1
2025-03-27 00:00:00.000,252.86666666666667,-31.594444444444445,9.401,9.798,110.7,5.5,26.3,2.47,232.2
2025-04-01 00:00:00.000,252.76500000000001,-31.641111111111112,9.333,9.807,115.6,5.3,26.3,3.47,248.1
2025-04-06 00:00:00.000,252.61458333333326,-31.68027777777778,9.268,9.815,120.6,5.0,26.3,4.58,256.6
2025-04-11 00:00:00.000,252.41666666666666,-31.711388888888887,9.207,9.824,125.6,4.8,26.2,5.7,261.9
2025-04-16 00:00:00.000,252.17333333333332,-31.733888888888888,9.151,9.833,130.6,4.4,26.2,6.78,265.5
2025-07-20 00:00:00.000,244.6770833333333,-30.415277777777778,9.303,9.99,130.3,4.5,26.3,6.74,300.4
2025-07-25 00:00:00.000,244.4741666666667,-30.303333333333335,9.375,9.998,125.4,4.7,26.4,5.73,305.2
2025-07-30 00:00:00.000,244.31625,-30.19527777777778,9.451,10.006,120.6,5.0,26.4,4.74,312.1
2025-08-04 00:00:00.000,244.20374999999996,-30.091666666666665,9.531,10.014,115.8,5.2,26.4,3.81,322.5
2025-08-09 00:00:00.000,244.13749999999993,-29.99416666666667,9.614,10.021,111.0,5.4,26.4,3.05,338.6
2025-08-14 00:00:00.000,244.11791666666662,-29.902777777777775,9.699,10.029,106.2,5.6,26.4,2.64,2.0
2025-08-19 00:00:00.000,244.14499999999998,-29.81833333333333,9.787,10.037,101.5,5.7,26.5,2.75,28.2
2025-08-24 00:00:00.000,244.21791666666664,-29.74138888888889,9.876,10.045,96.7,5.7,26.5,3.33,48.8
2025-08-29 00:00:00.000,244.33666666666664,-29.672222222222224,9.966,10.053,92.1,5.8,26.5,4.17,62.1
2025-09-03 00:00:00.000,244.50041666666664,-29.611111111111114,10.056,10.06,87.4,5.7,26.5,5.12,70.5
2026-03-12 00:00:00.000,262.44791666666663,-30.729444444444443,10.324,10.33,87.6,5.5,26.7,4.19,111.2
2026-03-17 00:00:00.000,262.57666666666665,-30.779444444444444,10.247,10.337,92.4,5.5,26.7,3.08,118.4
2026-03-22 00:00:00.000,262.65791666666667,-30.827222222222222,10.169,10.343,97.3,5.5,26.7,2.05,133.4
2026-03-27 00:00:00.000,262.6920833333333,-30.873055555555556,10.093,10.35,102.2,5.4,26.7,1.36,168.9
2026-04-01 00:00:00.000,262.67833333333334,-30.91638888888889,10.019,10.356,107.1,5.3,26.7,1.58,217.5
2026-04-06 00:00:00.000,262.6175,-30.95638888888889,9.946,10.363,112.0,5.1,26.6,2.46,242.1
2026-04-11 00:00:00.000,262.51,-30.99277777777778,9.876,10.369,117.0,4.9,26.6,3.52,253.0
