Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-16 00:00:00.000,25.072083333333328,8.079444444444444,5.214,5.255,86.7,11.1,26.8,12.41,73.7
2023-07-21 00:00:00.000,25.441666666666663,8.183055555555555,5.133,5.253,91.1,11.2,26.8,10.4,74.8
2023-07-26 00:00:00.000,25.74708333333333,8.260555555555555,5.053,5.25,95.6,11.1,26.7,8.31,76.6
2023-07-31 00:00:00.000,25.985416666666666,8.311388888888889,4.973,5.247,100.1,11.0,26.7,6.16,79.5
2023-08-05 00:00:00.000,26.15458333333333,8.335277777777778,4.893,5.244,104.7,10.8,26.6,3.97,85.6
2023-08-10 00:00:00.000,26.25125,8.331388888888888,4.816,5.241,109.4,10.5,26.6,1.86,106.7
2023-08-15 00:00:00.000,26.274166666666662,8.299444444444445,4.741,5.238,114.2,10.2,26.6,1.46,197.9
2023-08-20 00:00:00.000,26.22083333333333,8.239166666666666,4.668,5.235,119.1,9.7,26.5,3.51,230.5
2023-08-25 00:00:00.000,26.09208333333333,8.150833333333333,4.599,5.232,124.1,9.2,26.5,5.83,238.3
2023-08-30 00:00:00.000,25.887916666666666,8.035,4.533,5.229,129.1,8.6,26.5,8.15,241.6
2023-09-04 00:00:00.000,25.609999999999996,7.892777777777777,4.472,5.226,134.2,7.9,26.4,10.42,243.5
2023-11-28 00:00:00.000,16.373749999999998,4.234166666666667,4.455,5.162,131.5,8.2,26.4,9.47,253.9
2023-12-03 00:00:00.000,16.10708333333333,4.162777777777778,4.514,5.157,126.2,8.9,26.4,7.04,256.4
2023-12-08 00:00:00.000,15.91708333333333,4.124444444444444,4.577,5.153,120.9,9.4,26.4,4.56,261.8
2023-12-13 00:00:00.000,15.805416666666666,4.1194444444444445,4.644,5.149,115.8,9.9,26.5,2.17,279.6
2023-12-18 00:00:00.000,15.774166666666664,4.148333333333333,4.714,5.144,110.7,10.3,26.5,1.39,10.3
2023-12-23 00:00:00.000,15.821666666666665,4.210277777777778,4.786,5.14,105.6,10.6,26.5,3.5,48.0
2023-12-28 00:00:00.000,15.9475,4.304166666666666,4.861,5.135,100.7,10.8,26.5,5.9,56.2
2024-01-02 00:00:00.000,16.148749999999996,4.4286111111111115,4.936,5.13,95.8,11.0,26.6,8.27,59.6
2024-01-07 00:00:00.000,16.42416666666666,4.5825,5.012,5.126,91.1,11.1,26.6,10.59,61.5
2024-01-12 00:00:00.000,16.770416666666666,4.764722222222222,5.088,5.121,86.4,11.1,26.6,12.82,62.8
2024-08-19 00:00:00.000,56.221666666666664,17.71833333333333,4.783,4.857,88.2,12.0,26.3,13.81,80.5
2024-08-24 00:00:00.000,56.66291666666666,17.78527777777778,4.698,4.85,92.6,12.0,26.2,11.69,81.4
2024-08-29 00:00:00.000,57.029166666666654,17.834444444444443,4.614,4.843,97.0,11.9,26.2,9.44,82.6
2024-09-03 00:00:00.000,57.316666666666656,17.865833333333335,4.531,4.835,101.6,11.8,26.1,7.07,84.6
2024-09-08 00:00:00.000,57.521249999999995,17.878888888888888,4.448,4.828,106.3,11.6,26.1,4.63,88.5
2024-09-13 00:00:00.000,57.63999999999999,17.87388888888889,4.368,4.821,111.0,11.2,26.0,2.17,101.1
2024-09-18 00:00:00.000,57.669999999999995,17.851111111111113,4.29,4.813,115.8,10.8,26.0,1.04,203.1
2024-09-23 00:00:00.000,57.61083333333333,17.810000000000002,4.214,4.806,120.8,10.3,25.9,3.35,243.4
2024-09-28 00:00:00.000,57.45999999999999,17.75111111111111,4.143,4.798,125.8,9.7,25.9,5.97,250.0
2024-10-03 00:00:00.000,57.21791666666666,17.674166666666668,4.075,4.791,131.0,9.1,25.9,8.6,252.6
2024-12-27 00:00:00.000,46.777499999999996,15.306944444444445,3.928,4.656,133.2,8.9,25.7,10.57,261.1
2025-01-01 00:00:00.000,46.462083333333325,15.265555555555556,3.98,4.648,127.8,9.6,25.7,7.85,263.8
2025-01-06 00:00:00.000,46.23916666666666,15.251111111111111,4.037,4.64,122.5,10.3,25.7,5.07,269.6
2025-01-11 00:00:00.000,46.11208333333333,15.263333333333334,4.097,4.632,117.3,10.9,25.7,2.43,288.5
2025-01-16 00:00:00.000,46.08,15.302222222222223,4.161,4.623,112.2,11.4,25.7,1.62,16.1
2025-01-21 00:00:00.000,46.142916666666665,15.367222222222223,4.227,4.615,107.2,11.8,25.8,3.94,53.7
2025-01-26 00:00:00.000,46.299166666666665,15.4575,4.295,4.606,102.3,12.1,25.8,6.63,62.3
2025-01-31 00:00:00.000,46.54749999999999,15.572222222222223,4.365,4.598,97.5,12.3,25.8,9.3,65.9
2025-02-05 00:00:00.000,46.885416666666664,15.709999999999999,4.435,4.589,92.7,12.4,25.9,11.88,68.0
2025-02-10 00:00:00.000,47.30874999999999,15.86888888888889,4.506,4.581,88.1,12.4,25.9,14.34,69.3
2025-10-03 00:00:00.000,101.26999999999998,22.022777777777776,4.042,4.151,89.3,13.9,25.2,18.26,94.3
2025-10-08 00:00:00.000,101.88208333333333,21.979166666666664,3.957,4.142,93.6,13.9,25.2,15.87,94.5
