Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,189.12999999999997,3.3544444444444443,4.77,4.85,88.4,12.1,28.5,10.62,125.6
2024-02-06 00:00:00.000,228.54624999999996,-9.651111111111112,4.331,4.402,87.6,12.9,27.9,16.16,86.6
2024-02-11 00:00:00.000,229.05374999999998,-9.60388888888889,4.239,4.388,92.1,13.0,27.9,13.98,82.4
2024-02-16 00:00:00.000,229.48124999999996,-9.527222222222223,4.147,4.375,96.8,13.0,27.8,11.76,76.5
2024-02-21 00:00:00.000,229.825,-9.421111111111111,4.055,4.361,101.4,12.8,27.7,9.59,67.8
2024-02-26 00:00:00.000,230.07999999999998,-9.285555555555556,3.965,4.347,106.2,12.6,27.7,7.66,54.0
2024-03-02 00:00:00.000,230.24249999999998,-9.121111111111112,3.877,4.333,111.0,12.3,27.6,6.35,32.3
2024-03-07 00:00:00.000,230.30791666666664,-8.928055555555554,3.791,4.318,115.9,11.9,27.5,6.23,4.3
2024-03-12 00:00:00.000,230.27333333333328,-8.7075,3.708,4.304,120.9,11.4,27.5,7.46,340.1
2024-03-17 00:00:00.000,230.13708333333332,-8.460833333333333,3.629,4.289,126.0,10.8,27.4,9.55,324.4
2024-03-22 00:00:00.000,229.89874999999998,-8.190277777777778,3.553,4.275,131.1,10.1,27.4,12.04,314.6
2024-06-15 00:00:00.000,217.84124999999997,-3.866111111111111,3.251,4.001,131.8,10.9,26.9,14.74,271.2
2024-06-20 00:00:00.000,217.39624999999998,-3.8777777777777778,3.291,3.983,126.8,11.8,26.9,11.91,265.2
2024-06-25 00:00:00.000,217.04916666666662,-3.9319444444444445,3.334,3.966,121.8,12.6,26.9,9.18,255.8
2024-06-30 00:00:00.000,216.80249999999998,-4.0275,3.381,3.948,117.0,13.3,26.9,6.81,239.4
2024-07-05 00:00:00.000,216.6583333333333,-4.162777777777778,3.431,3.93,112.2,13.9,26.9,5.4,210.8
2024-07-10 00:00:00.000,216.61749999999998,-4.336111111111111,3.483,3.912,107.6,14.3,26.9,5.76,176.8
2024-07-15 00:00:00.000,216.67916666666665,-4.545,3.537,3.893,103.0,14.7,26.9,7.57,153.6
2024-07-20 00:00:00.000,216.8416666666666,-4.786666666666666,3.592,3.875,98.5,15.0,27.0,9.98,140.6
2024-07-25 00:00:00.000,217.10166666666663,-5.0586111111111105,3.647,3.856,94.2,15.2,27.0,12.58,133.0
2024-07-30 00:00:00.000,217.45666666666662,-5.358055555555556,3.703,3.838,89.9,15.3,27.0,15.22,128.0
2024-08-04 00:00:00.000,217.90374999999997,-5.683055555555556,3.759,3.819,85.7,15.4,27.0,17.83,124.5
2025-04-11 00:00:00.000,294.1583333333333,-13.63,2.552,2.698,87.4,21.8,24.6,42.19,76.1
2025-04-16 00:00:00.000,295.5295833333333,-13.28888888888889,2.463,2.673,90.8,22.0,24.5,40.37,75.2
2025-04-21 00:00:00.000,296.83,-12.944444444444445,2.375,2.649,94.4,22.2,24.4,38.34,74.3
2025-04-26 00:00:00.000,298.0520833333333,-12.6,2.288,2.624,98.0,22.3,24.3,36.06,73.4
2025-05-01 00:00:00.000,299.1883333333333,-12.260277777777778,2.201,2.599,101.6,22.3,24.2,33.53,72.5
2025-05-06 00:00:00.000,300.2316666666666,-11.93,2.116,2.574,105.3,22.2,24.0,30.78,71.6
2025-05-11 00:00:00.000,301.1758333333333,-11.61361111111111,2.033,2.549,109.1,22.0,23.9,27.78,70.6
2025-05-16 00:00:00.000,302.01249999999993,-11.316111111111113,1.951,2.525,113.0,21.6,23.8,24.5,69.5
2025-05-21 00:00:00.000,302.73291666666665,-11.043333333333333,1.872,2.5,117.0,21.1,23.6,20.9,68.2
