Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,212.79291666666663,4.389722222222223,5.03,5.454,109.5,10.1,19.4,4.14,166.1
2023-07-06 00:00:00.000,212.85958333333332,4.241388888888889,5.106,5.46,105.1,10.4,19.4,5.72,148.5
2023-07-11 00:00:00.000,212.99291666666664,4.065277777777777,5.184,5.466,100.7,10.5,19.4,7.54,138.7
2023-07-16 00:00:00.000,213.1920833333333,3.8641666666666667,5.264,5.471,96.4,10.6,19.5,9.43,132.7
2023-07-21 00:00:00.000,213.45541666666665,3.64,5.344,5.477,92.2,10.7,19.5,11.3,128.5
2023-07-26 00:00:00.000,213.78166666666664,3.3958333333333335,5.424,5.483,88.0,10.7,19.6,13.12,125.4
2024-02-26 00:00:00.000,249.9233333333333,-2.178888888888889,5.684,5.736,88.0,9.9,19.9,15.56,57.0
2024-03-02 00:00:00.000,250.32666666666665,-1.8875,5.615,5.742,92.4,9.9,19.8,14.3,50.9
2024-03-07 00:00:00.000,250.66291666666663,-1.5788888888888888,5.546,5.749,96.8,9.9,19.8,13.13,43.7
2024-03-12 00:00:00.000,250.93041666666662,-1.2547222222222223,5.478,5.755,101.2,9.8,19.8,12.12,35.0
2024-03-17 00:00:00.000,251.12666666666664,-0.9177777777777777,5.411,5.761,105.7,9.6,19.8,11.35,25.1
2024-03-22 00:00:00.000,251.25124999999997,-0.5702777777777778,5.347,5.767,110.2,9.3,19.7,10.88,14.1
2024-03-27 00:00:00.000,251.30333333333328,-0.2152777777777778,5.285,5.773,114.6,9.0,19.7,10.75,2.6
2024-04-01 00:00:00.000,251.28374999999997,0.14444444444444443,5.227,5.779,119.1,8.7,19.7,10.96,351.3
2024-04-06 00:00:00.000,251.19249999999997,0.5055555555555555,5.171,5.785,123.6,8.3,19.7,11.48,340.7
2024-04-11 00:00:00.000,251.03125,0.865,5.12,5.791,128.0,7.8,19.7,12.21,331.3
2024-04-16 00:00:00.000,250.80249999999992,1.2183333333333335,5.074,5.797,132.3,7.4,19.7,13.07,323.2
2024-07-05 00:00:00.000,243.28249999999997,3.4658333333333333,5.164,5.895,132.2,7.3,19.8,10.73,248.5
2024-07-10 00:00:00.000,242.97749999999996,3.319722222222222,5.221,5.901,128.0,7.8,19.8,9.57,239.7
2024-07-15 00:00:00.000,242.73166666666665,3.144722222222222,5.282,5.907,123.7,8.2,19.8,8.58,228.7
2024-07-20 00:00:00.000,242.54749999999996,2.9433333333333334,5.348,5.913,119.4,8.6,19.9,7.86,215.5
2024-07-25 00:00:00.000,242.42708333333326,2.718888888888889,5.416,5.919,115.1,8.9,19.9,7.54,200.5
2024-07-30 00:00:00.000,242.37166666666664,2.4736111111111114,5.488,5.926,110.9,9.2,19.9,7.68,185.1
2024-08-04 00:00:00.000,242.38124999999994,2.2097222222222226,5.562,5.932,106.6,9.4,20.0,8.26,171.0
2024-08-09 00:00:00.000,242.45749999999995,1.9305555555555554,5.637,5.938,102.4,9.6,20.0,9.18,159.2
