Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-10-19 00:00:00.000,120.22124999999997,14.671388888888888,6.305,6.31,85.7,9.1,34.0,5.85,133.8
2023-10-24 00:00:00.000,120.33375000000001,14.541666666666666,6.239,6.328,90.6,9.0,34.0,4.38,148.4
2023-10-29 00:00:00.000,120.37875000000001,14.423055555555555,6.173,6.345,95.4,9.0,34.0,3.4,174.7
2023-11-03 00:00:00.000,120.35499999999999,14.316666666666666,6.108,6.362,100.4,8.8,34.0,3.46,209.7
2023-11-08 00:00:00.000,120.26041666666667,14.223055555555556,6.043,6.38,105.5,8.6,34.0,4.59,235.5
2023-11-13 00:00:00.000,120.09416666666664,14.143611111111111,5.981,6.397,110.6,8.3,33.9,6.27,249.8
2023-11-18 00:00:00.000,119.85624999999999,14.078888888888889,5.921,6.414,115.8,8.0,33.9,8.14,257.8
2023-11-23 00:00:00.000,119.5475,14.029166666666667,5.865,6.43,121.1,7.6,33.9,10.07,262.8
2023-11-28 00:00:00.000,119.17041666666665,13.995,5.812,6.447,126.4,7.1,33.9,11.99,266.2
2023-12-03 00:00:00.000,118.72666666666666,13.976111111111111,5.764,6.463,131.8,6.5,33.9,13.85,268.6
2024-02-26 00:00:00.000,107.84499999999998,15.236944444444443,6.039,6.723,130.4,6.4,34.2,11.78,284.4
2024-03-02 00:00:00.000,107.48416666666667,15.332222222222223,6.118,6.737,125.1,6.9,34.2,9.87,286.4
2024-03-07 00:00:00.000,107.19083333333333,15.422777777777776,6.202,6.751,119.9,7.3,34.3,7.94,289.4
2024-03-12 00:00:00.000,106.96666666666664,15.5075,6.289,6.765,114.7,7.7,34.3,6.0,294.2
2024-03-17 00:00:00.000,106.81208333333332,15.586111111111112,6.38,6.779,109.6,7.9,34.3,4.14,303.1
2024-03-22 00:00:00.000,106.72624999999998,15.657777777777778,6.473,6.792,104.6,8.2,34.4,2.54,323.6
2024-03-27 00:00:00.000,106.70749999999998,15.722222222222223,6.567,6.806,99.6,8.3,34.4,1.86,12.6
2024-04-01 00:00:00.000,106.75374999999998,15.77888888888889,6.663,6.819,94.8,8.4,34.5,2.75,55.1
2024-04-06 00:00:00.000,106.86333333333332,15.827222222222222,6.759,6.832,90.0,8.4,34.5,4.26,71.9
2024-04-11 00:00:00.000,107.03333333333333,15.866944444444444,6.855,6.845,85.2,8.4,34.5,5.86,79.6
2024-10-28 00:00:00.000,128.015,11.1725,7.25,7.27,87.2,7.8,34.9,4.9,144.6
2024-11-02 00:00:00.000,128.08291666666665,11.045277777777777,7.175,7.278,92.1,7.8,34.9,3.81,162.5
2024-11-07 00:00:00.000,128.09208333333333,10.930833333333332,7.099,7.286,97.0,7.8,34.9,3.29,190.5
2024-11-12 00:00:00.000,128.04166666666666,10.829722222222221,7.024,7.294,102.0,7.6,34.9,3.68,220.0
2024-11-17 00:00:00.000,127.93124999999999,10.743333333333332,6.951,7.302,107.0,7.4,34.8,4.77,240.3
2024-11-22 00:00:00.000,127.76041666666667,10.672222222222222,6.88,7.31,112.2,7.2,34.8,6.23,252.3
2024-11-27 00:00:00.000,127.52874999999997,10.617222222222223,6.811,7.318,117.4,6.9,34.8,7.84,259.7
2024-12-02 00:00:00.000,127.23749999999998,10.578888888888889,6.746,7.325,122.6,6.5,34.8,9.51,264.6
