Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,203.62541666666664,-14.413611111111111,4.335,4.756,108.5,11.7,25.0,4.01,25.3
2023-07-06 00:00:00.000,203.72541666666663,-14.31027777777778,4.425,4.77,103.8,11.9,25.0,4.83,57.7
2023-07-11 00:00:00.000,203.905,-14.241388888888888,4.516,4.784,99.2,12.1,25.1,6.55,76.2
2023-07-16 00:00:00.000,204.16166666666663,-14.205555555555556,4.608,4.798,94.6,12.2,25.1,8.56,86.1
2023-07-21 00:00:00.000,204.49166666666667,-14.201944444444443,4.7,4.812,90.2,12.2,25.2,10.62,91.9
2023-07-26 00:00:00.000,204.89041666666665,-14.22888888888889,4.793,4.825,85.8,12.1,25.2,12.63,95.7
2024-02-21 00:00:00.000,240.19999999999996,-22.193055555555556,5.154,5.23,88.9,10.9,25.7,8.04,96.5
2024-02-26 00:00:00.000,240.4470833333333,-22.21527777777778,5.077,5.236,93.7,10.9,25.7,5.75,94.2
2024-03-02 00:00:00.000,240.61166666666668,-22.22083333333333,5.001,5.241,98.6,10.8,25.7,3.39,88.6
2024-03-07 00:00:00.000,240.69000000000003,-22.209444444444443,4.925,5.247,103.5,10.6,25.7,1.14,58.0
2024-03-12 00:00:00.000,240.68041666666667,-22.180555555555557,4.851,5.252,108.5,10.3,25.6,1.9,306.8
2024-03-17 00:00:00.000,240.57999999999998,-22.133333333333333,4.779,5.258,113.6,10.0,25.6,4.37,292.7
2024-03-22 00:00:00.000,240.38999999999996,-22.067777777777778,4.71,5.263,118.8,9.6,25.6,6.91,289.0
2024-03-27 00:00:00.000,240.11083333333332,-21.983055555555556,4.644,5.268,124.0,9.0,25.6,9.43,287.4
2024-04-01 00:00:00.000,239.74374999999998,-21.879166666666666,4.583,5.272,129.3,8.4,25.5,11.91,286.6
2024-04-06 00:00:00.000,239.2920833333333,-21.755555555555556,4.526,5.277,134.7,7.8,25.5,14.31,286.2
2024-06-30 00:00:00.000,227.29749999999999,-18.05638888888889,4.603,5.331,131.5,8.2,25.6,12.7,293.5
2024-07-05 00:00:00.000,226.92916666666665,-17.898333333333333,4.667,5.332,126.3,8.8,25.6,10.35,295.2
2024-07-10 00:00:00.000,226.6420833333333,-17.763055555555557,4.735,5.334,121.3,9.4,25.6,7.95,297.9
2024-07-15 00:00:00.000,226.4370833333333,-17.65083333333333,4.807,5.335,116.3,9.8,25.7,5.56,302.8
2024-07-20 00:00:00.000,226.31416666666667,-17.56222222222222,4.882,5.336,111.4,10.2,25.7,3.29,314.4
2024-07-25 00:00:00.000,226.2720833333333,-17.497222222222224,4.959,5.337,106.5,10.5,25.8,1.6,357.6
2024-07-30 00:00:00.000,226.30916666666664,-17.455555555555556,5.038,5.338,101.8,10.7,25.8,2.36,67.3
2024-08-04 00:00:00.000,226.42374999999998,-17.43638888888889,5.118,5.339,97.1,10.9,25.8,4.38,86.9
2024-08-09 00:00:00.000,226.61374999999995,-17.439166666666665,5.199,5.339,92.5,10.9,25.9,6.51,93.6
2024-08-14 00:00:00.000,226.87666666666664,-17.463055555555556,5.28,5.34,87.9,10.9,25.9,8.58,96.8
2025-03-07 00:00:00.000,260.53499999999997,-21.16638888888889,5.205,5.216,85.1,10.9,25.8,10.94,81.4
2025-03-12 00:00:00.000,260.88374999999996,-21.10777777777778,5.117,5.209,89.8,11.0,25.7,8.88,77.7
2025-03-17 00:00:00.000,261.1541666666666,-21.040833333333335,5.028,5.202,94.6,11.0,25.7,6.78,71.8
2025-03-22 00:00:00.000,261.3429166666666,-20.96638888888889,4.94,5.196,99.3,10.9,25.6,4.72,60.2
2025-03-27 00:00:00.000,261.4458333333333,-20.884444444444444,4.853,5.189,104.2,10.7,25.6,3.06,32.8
2025-04-01 00:00:00.000,261.46,-20.79527777777778,4.767,5.181,109.1,10.5,25.5,2.91,342.8
2025-04-06 00:00:00.000,261.38375,-20.698888888888888,4.684,5.174,114.1,10.2,25.5,4.54,311.2
2025-04-11 00:00:00.000,261.21624999999995,-20.59583333333333,4.603,5.167,119.2,9.7,25.4,6.78,298.1
2025-04-16 00:00:00.000,260.9575,-20.48611111111111,4.526,5.159,124.3,9.2,25.4,9.2,291.6
