Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-08-15 00:00:00.000,275.28916666666663,-14.522222222222224,4.261,5.007,132.9,8.5,21.6,8.42,213.8
2023-08-20 00:00:00.000,275.1670833333333,-14.755277777777778,4.332,5.02,128.1,9.1,21.7,7.37,199.0
2023-08-25 00:00:00.000,275.12499999999994,-14.986388888888888,4.407,5.034,123.4,9.7,21.7,6.9,180.5
2023-08-30 00:00:00.000,275.1633333333333,-15.214444444444444,4.486,5.049,118.6,10.1,21.8,7.14,161.4
2023-09-04 00:00:00.000,275.28208333333333,-15.4375,4.568,5.063,114.0,10.5,21.8,8.05,145.2
2023-09-09 00:00:00.000,275.48083333333335,-15.654444444444445,4.653,5.077,109.4,10.8,21.9,9.4,133.0
2023-09-14 00:00:00.000,275.75791666666663,-15.864166666666666,4.74,5.091,104.8,11.0,21.9,11.02,124.1
2023-09-19 00:00:00.000,276.1129166666666,-16.065555555555555,4.829,5.106,100.3,11.2,22.0,12.76,117.5
2023-09-24 00:00:00.000,276.5425,-16.256944444444443,4.919,5.12,95.9,11.2,22.1,14.54,112.6
2023-09-29 00:00:00.000,277.0433333333333,-16.43777777777778,5.01,5.135,91.5,11.2,22.1,16.28,108.8
2023-10-04 00:00:00.000,277.61249999999995,-16.606944444444444,5.101,5.15,87.2,11.2,22.2,17.99,105.8
2024-05-06 00:00:00.000,318.1570833333333,-13.16388888888889,5.777,5.848,89.1,9.9,23.0,10.89,79.6
2024-05-11 00:00:00.000,318.49208333333326,-13.108333333333333,5.715,5.865,93.6,9.9,23.0,8.96,81.3
2024-05-16 00:00:00.000,318.76249999999993,-13.073333333333332,5.654,5.883,98.1,9.8,23.0,6.99,84.0
2024-05-21 00:00:00.000,318.96791666666667,-13.059722222222224,5.594,5.9,102.7,9.6,22.9,5.03,89.1
2024-05-26 00:00:00.000,319.1066666666666,-13.068055555555555,5.535,5.918,107.4,9.4,22.9,3.15,100.7
2024-05-31 00:00:00.000,319.1791666666666,-13.09888888888889,5.478,5.935,112.1,9.1,22.9,1.71,138.0
2024-06-05 00:00:00.000,319.18499999999995,-13.152777777777779,5.424,5.952,116.9,8.7,22.9,2.12,202.4
2024-06-10 00:00:00.000,319.1241666666666,-13.229722222222222,5.372,5.97,121.8,8.3,22.9,3.81,225.8
2024-06-15 00:00:00.000,318.9991666666666,-13.329722222222221,5.325,5.987,126.7,7.8,22.9,5.66,234.0
2024-06-20 00:00:00.000,318.81125,-13.451388888888888,5.281,6.005,131.7,7.3,22.9,7.49,237.9
2024-09-18 00:00:00.000,311.3991666666666,-17.141111111111112,5.586,6.325,134.0,6.6,23.2,7.31,233.2
2024-09-23 00:00:00.000,311.22541666666666,-17.278055555555554,5.664,6.343,128.9,7.1,23.3,5.63,226.9
2024-09-28 00:00:00.000,311.1133333333333,-17.396944444444443,5.748,6.36,123.8,7.5,23.3,4.02,215.0
2024-10-03 00:00:00.000,311.065,-17.496944444444445,5.835,6.378,118.9,7.9,23.4,2.76,189.5
2024-10-08 00:00:00.000,311.08124999999995,-17.578055555555554,5.926,6.396,113.9,8.2,23.4,2.56,146.8
2024-10-13 00:00:00.000,311.16291666666666,-17.640277777777776,6.019,6.414,109.0,8.5,23.5,3.61,115.9
2024-10-18 00:00:00.000,311.30791666666664,-17.683333333333334,6.115,6.432,104.2,8.6,23.5,5.15,101.3
2024-10-23 00:00:00.000,311.5158333333333,-17.7075,6.212,6.45,99.4,8.8,23.6,6.83,93.8
2024-10-28 00:00:00.000,311.78416666666664,-17.71333333333333,6.311,6.468,94.7,8.8,23.6,8.53,89.3
2024-11-02 00:00:00.000,312.1120833333333,-17.700833333333332,6.41,6.486,90.0,8.8,23.7,10.21,86.4
2024-11-07 00:00:00.000,312.49666666666667,-17.670555555555556,6.509,6.504,85.3,8.7,23.7,11.84,84.3
2025-05-26 00:00:00.000,340.0795833333333,-10.9475,7.204,7.225,87.2,8.1,24.4,8.12,85.2
2025-05-31 00:00:00.000,340.3295833333333,-10.935555555555556,7.141,7.243,91.7,8.0,24.4,6.62,89.7
2025-06-05 00:00:00.000,340.52874999999995,-10.945,7.078,7.261,96.3,8.0,24.4,5.15,96.8
2025-06-10 00:00:00.000,340.6766666666666,-10.976111111111111,7.016,7.279,101.0,7.9,24.4,3.81,109.3
2025-06-15 00:00:00.000,340.7729166666666,-11.02888888888889,6.956,7.296,105.7,7.7,24.3,2.81,132.8
2025-06-20 00:00:00.000,340.81624999999997,-11.103055555555555,6.897,7.314,110.5,7.5,24.3,2.6,168.7
2025-06-25 00:00:00.000,340.80749999999995,-11.19888888888889,6.841,7.332,115.3,7.2,24.3,3.36,198.1
2025-06-30 00:00:00.000,340.7458333333333,-11.315555555555557,6.787,7.35,120.1,6.9,24.3,4.6,214.0
2025-07-05 00:00:00.000,340.63291666666663,-11.452499999999999,6.737,7.368,125.0,6.5,24.3,5.98,222.7
2025-07-10 00:00:00.000,340.4708333333333,-11.608055555555556,6.691,7.386,130.0,6.1,24.3,7.37,228.0
2025-10-13 00:00:00.000,333.6525,-15.28277777777778,7.038,7.722,130.4,5.6,24.6,6.14,245.7
2025-10-18 00:00:00.000,333.48333333333323,-15.356666666666666,7.121,7.74,125.3,6.0,24.7,4.59,245.6
2025-10-23 00:00:00.000,333.36416666666656,-15.409166666666668,7.209,7.757,120.2,6.4,24.7,2.99,245.3
2025-10-28 00:00:00.000,333.29583333333323,-15.44,7.3,7.775,115.2,6.6,24.7,1.36,243.4
