Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2024-01-27 00:00:00.000,220.15166666666664,-4.798611111111111,3.398,3.487,87.0,16.4,22.1,19.21,117.8
2024-02-01 00:00:00.000,220.66791666666663,-5.081944444444444,3.349,3.514,91.4,16.3,22.1,16.01,120.1
2024-02-06 00:00:00.000,221.07666666666663,-5.3341666666666665,3.3,3.54,95.9,16.1,22.1,12.71,124.0
2024-02-11 00:00:00.000,221.3720833333333,-5.556111111111111,3.251,3.567,100.6,15.8,22.1,9.42,131.3
2024-02-16 00:00:00.000,221.54916666666665,-5.748888888888889,3.203,3.593,105.3,15.4,22.1,6.41,146.9
2024-02-21 00:00:00.000,221.6058333333333,-5.9141666666666675,3.157,3.619,110.2,14.9,22.1,4.57,181.7
2024-02-26 00:00:00.000,221.53958333333333,-6.053611111111111,3.113,3.646,115.2,14.2,22.1,5.39,225.0
2024-03-02 00:00:00.000,221.34999999999997,-6.169166666666667,3.072,3.672,120.3,13.5,22.1,8.13,247.5
2024-03-07 00:00:00.000,221.03666666666663,-6.2619444444444445,3.033,3.699,125.5,12.6,22.1,11.44,257.6
2024-03-12 00:00:00.000,220.60166666666663,-6.334444444444444,2.999,3.725,130.8,11.7,22.1,14.85,262.7
2024-06-05 00:00:00.000,206.6620833333333,-7.570555555555555,3.411,4.168,132.9,10.3,22.9,14.38,243.2
2024-06-10 00:00:00.000,206.28124999999997,-7.799166666666666,3.494,4.194,127.9,11.0,22.9,12.19,233.7
2024-06-15 00:00:00.000,206.00124999999994,-8.052222222222223,3.58,4.219,122.9,11.7,23.0,10.47,220.7
2024-06-20 00:00:00.000,205.8208333333333,-8.328333333333333,3.671,4.245,118.1,12.2,23.1,9.46,204.3
2024-06-25 00:00:00.000,205.73791666666662,-8.626666666666667,3.764,4.27,113.4,12.6,23.2,9.33,186.5
2024-06-30 00:00:00.000,205.74874999999997,-8.945833333333333,3.86,4.296,108.7,13.0,23.3,10.02,170.4
2024-07-05 00:00:00.000,205.84999999999997,-9.285,3.958,4.321,104.2,13.2,23.3,11.31,157.6
2024-07-10 00:00:00.000,206.0383333333333,-9.642777777777777,4.058,4.347,99.7,13.3,23.4,12.94,148.2
2024-07-15 00:00:00.000,206.30916666666664,-10.017777777777779,4.158,4.372,95.3,13.4,23.5,14.71,141.4
2024-07-20 00:00:00.000,206.6575,-10.408611111111112,4.26,4.397,91.0,13.4,23.6,16.5,136.4
2024-07-25 00:00:00.000,207.07874999999999,-10.81388888888889,4.361,4.422,86.8,13.3,23.7,18.25,132.6
2025-02-25 00:00:00.000,244.66666666666669,-28.78805555555556,5.362,5.427,88.5,10.5,25.0,11.36,141.8
2025-03-02 00:00:00.000,244.8920833333333,-29.081666666666667,5.302,5.449,93.2,10.5,25.0,9.92,151.2
2025-03-07 00:00:00.000,245.03124999999997,-29.366944444444446,5.242,5.47,98.0,10.3,25.0,8.79,163.6
2025-03-12 00:00:00.000,245.08208333333332,-29.64361111111111,5.184,5.491,102.9,10.2,25.0,8.15,178.9
2025-03-17 00:00:00.000,245.04291666666663,-29.91,5.127,5.513,107.8,9.9,25.0,8.13,195.6
2025-03-22 00:00:00.000,244.91291666666663,-30.165277777777778,5.072,5.534,112.8,9.6,25.0,8.75,211.4
2025-03-27 00:00:00.000,244.69166666666666,-30.4075,5.02,5.555,117.8,9.1,25.0,9.87,224.4
2025-04-01 00:00:00.000,244.37958333333333,-30.634722222222223,4.971,5.576,122.8,8.7,24.9,11.32,234.4
2025-04-06 00:00:00.000,243.97916666666666,-30.845555555555553,4.926,5.597,127.9,8.1,24.9,12.92,242.0
2025-04-11 00:00:00.000,243.49499999999992,-31.03805555555556,4.886,5.618,133.1,7.5,24.9,14.55,247.9
2025-07-05 00:00:00.000,231.39333333333332,-31.051111111111112,5.223,5.961,132.8,7.2,25.3,10.52,286.2
2025-07-10 00:00:00.000,231.03999999999996,-30.95638888888889,5.301,5.98,127.9,7.7,25.4,8.51,288.7
2025-07-15 00:00:00.000,230.76666666666662,-30.869444444444444,5.384,5.999,123.0,8.2,25.4,6.49,292.4
2025-07-20 00:00:00.000,230.57416666666663,-30.792222222222225,5.471,6.018,118.2,8.6,25.5,4.47,298.7
2025-07-25 00:00:00.000,230.46249999999995,-30.72694444444444,5.561,6.038,113.5,8.9,25.5,2.55,313.9
2025-07-30 00:00:00.000,230.43124999999995,-30.674722222222222,5.653,6.057,108.8,9.1,25.6,1.36,8.7
2025-08-04 00:00:00.000,230.47791666666663,-30.63722222222222,5.748,6.076,104.1,9.3,25.6,2.37,67.7
2025-08-09 00:00:00.000,230.59999999999997,-30.615000000000002,5.844,6.095,99.6,9.4,25.7,4.13,84.0
2025-08-14 00:00:00.000,230.79499999999996,-30.608611111111113,5.941,6.113,95.0,9.5,25.7,5.95,90.4
2025-08-19 00:00:00.000,231.05999999999997,-30.61777777777778,6.039,6.132,90.5,9.5,25.8,7.74,93.9
2025-08-24 00:00:00.000,231.39249999999996,-30.643333333333334,6.136,6.151,86.1,9.4,25.8,9.47,96.1
2026-03-12 00:00:00.000,261.88374999999996,-38.42388888888889,6.8,6.833,87.7,8.4,26.5,10.04,144.6
2026-03-17 00:00:00.000,262.09374999999994,-38.6975,6.735,6.848,92.3,8.3,26.5,9.16,153.9
2026-03-22 00:00:00.000,262.22708333333327,-38.971944444444446,6.671,6.864,97.0,8.3,26.5,8.52,165.1
2026-03-27 00:00:00.000,262.2816666666667,-39.24583333333334,6.607,6.879,101.7,8.2,26.5,8.2,177.6
2026-04-01 00:00:00.000,262.25624999999997,-39.5175,6.545,6.894,106.4,8.0,26.5,8.25,190.7
2026-04-06 00:00:00.000,262.1495833333332,-39.78527777777778,6.485,6.91,111.2,7.8,26.5,8.65,203.1
2026-04-11 00:00:00.000,261.9616666666666,-40.0475,6.428,6.925,115.9,7.5,26.4,9.37,214.1
2026-04-16 00:00:00.000,261.69291666666663,-40.301944444444445,6.374,6.94,120.7,7.1,26.4,10.3,223.4
2026-04-21 00:00:00.000,261.3441666666667,-40.545833333333334,6.323,6.955,125.5,6.8,26.4,11.36,231.1
2026-04-26 00:00:00.000,260.91875,-40.776666666666664,6.278,6.97,130.2,6.3,26.4,12.46,237.4
2026-05-01 00:00:00.000,260.4208333333333,-40.99194444444444,6.237,6.984,134.9,5.9,26.4,13.55,242.8
2026-07-20 00:00:00.000,249.3733333333333,-41.2325,6.474,7.212,133.6,5.9,26.6,10.81,293.4
2026-07-25 00:00:00.000,248.9695833333333,-41.086666666666666,6.543,7.225,129.0,6.3,26.7,9.42,298.2
2026-07-30 00:00:00.000,248.63958333333332,-40.93666666666666,6.617,7.239,124.4,6.6,26.7,8.03,304.3
2026-08-04 00:00:00.000,248.38458333333332,-40.78527777777778,6.695,7.252,119.8,7.0,26.7,6.7,312.6
2026-08-09 00:00:00.000,248.20583333333332,-40.635,6.776,7.266,115.2,7.3,26.8,5.5,324.4
2026-08-14 00:00:00.000,248.10333333333332,-40.488055555555555,6.861,7.279,110.6,7.5,26.8,4.58,341.3
2026-08-19 00:00:00.000,248.07708333333335,-40.34638888888889,6.948,7.292,106.0,7.7,26.8,4.16,3.6
2026-08-24 00:00:00.000,248.125,-40.21194444444445,7.037,7.305,101.5,7.8,26.9,4.37,26.4
2026-08-29 00:00:00.000,248.24583333333337,-40.08583333333333,7.127,7.318,97.0,7.9,26.9,5.11,44.5
2026-09-03 00:00:00.000,248.43666666666664,-39.96944444444445,7.218,7.332,92.5,7.9,26.9,6.16,57.1
2026-09-08 00:00:00.000,248.695,-39.863055555555555,7.309,7.344,88.1,7.9,27.0,7.36,65.7
2027-03-22 00:00:00.000,276.88916666666665,-43.032777777777774,7.808,7.797,85.7,7.3,27.4,9.7,139.4
2027-03-27 00:00:00.000,277.14333333333326,-43.282222222222224,7.74,7.807,90.2,7.3,27.4,8.98,147.7
2027-04-01 00:00:00.000,277.3279166666667,-43.53861111111111,7.672,7.817,94.7,7.3,27.4,8.43,157.4
2027-04-06 00:00:00.000,277.44083333333333,-43.800555555555555,7.604,7.828,99.2,7.2,27.3,8.1,168.3
2027-04-11 00:00:00.000,277.4791666666667,-44.066944444444445,7.538,7.838,103.8,7.1,27.3,8.04,179.9
2027-04-16 00:00:00.000,277.44166666666666,-44.33583333333333,7.474,7.848,108.4,7.0,27.3,8.24,191.3
2027-04-21 00:00:00.000,277.3283333333333,-44.60527777777778,7.412,7.858,112.9,6.8,27.3,8.69,201.8
2027-04-26 00:00:00.000,277.13916666666665,-44.87305555555555,7.353,7.867,117.5,6.5,27.3,9.34,211.2
2027-05-01 00:00:00.000,276.87375,-45.136944444444445,7.297,7.877,122.0,6.2,27.3,10.12,219.3
2027-05-06 00:00:00.000,276.53375,-45.39416666666666,7.245,7.887,126.5,5.9,27.3,10.98,226.3
2027-05-11 00:00:00.000,276.1216666666666,-45.64194444444444,7.198,7.897,130.9,5.5,27.3,11.86,232.3
2027-08-04 00:00:00.000,264.8991666666666,-46.48083333333334,7.353,8.052,130.7,5.5,27.4,10.13,295.6
