Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-11-08 00:00:00.000,146.26624999999999,27.95722222222222,4.261,4.307,86.0,13.3,22.0,19.53,87.4
2023-11-13 00:00:00.000,146.95874999999998,28.003611111111113,4.205,4.325,90.3,13.2,22.0,17.26,83.7
2023-11-18 00:00:00.000,147.56041666666664,28.08361111111111,4.149,4.344,94.7,13.1,22.0,14.97,78.8
2023-11-23 00:00:00.000,148.0675,28.1975,4.093,4.362,99.2,12.9,22.0,12.75,72.1
2023-11-28 00:00:00.000,148.47666666666663,28.345277777777778,4.039,4.381,103.8,12.6,21.9,10.69,62.5
2023-12-03 00:00:00.000,148.7845833333333,28.52611111111111,3.986,4.4,108.5,12.3,21.9,8.97,48.8
2023-12-08 00:00:00.000,148.98749999999998,28.739166666666666,3.936,4.418,113.3,11.8,21.9,7.9,29.9
2023-12-13 00:00:00.000,149.08333333333334,28.98222222222222,3.888,4.437,118.1,11.3,21.9,7.79,8.0
2023-12-18 00:00:00.000,149.07,29.252222222222223,3.843,4.456,123.0,10.7,21.9,8.65,348.2
2023-12-23 00:00:00.000,148.94874999999996,29.545,3.802,4.475,127.9,10.0,21.9,10.17,333.3
2023-12-28 00:00:00.000,148.72124999999997,29.855833333333333,3.766,4.494,132.9,9.2,21.9,12.0,322.7
2024-03-17 00:00:00.000,138.60999999999999,32.41083333333333,4.073,4.802,132.5,8.8,22.4,10.74,245.3
2024-03-22 00:00:00.000,138.27083333333331,32.24305555555556,4.147,4.822,127.7,9.4,22.4,9.27,233.1
2024-03-27 00:00:00.000,138.02624999999998,32.04083333333333,4.226,4.841,122.9,10.0,22.5,8.25,217.5
2024-04-01 00:00:00.000,137.87666666666667,31.8075,4.308,4.861,118.2,10.4,22.5,7.87,199.3
2024-04-06 00:00:00.000,137.82208333333332,31.54638888888889,4.393,4.88,113.6,10.8,22.6,8.23,181.3
2024-04-11 00:00:00.000,137.86166666666668,31.259722222222223,4.482,4.9,109.0,11.2,22.7,9.22,166.2
2024-04-16 00:00:00.000,137.99291666666664,30.950555555555553,4.572,4.919,104.5,11.4,22.7,10.6,154.7
2024-04-21 00:00:00.000,138.2120833333333,30.621666666666666,4.664,4.939,100.0,11.6,22.8,12.18,146.3
2024-04-26 00:00:00.000,138.51416666666663,30.275277777777777,4.758,4.959,95.6,11.7,22.8,13.84,140.2
2024-05-01 00:00:00.000,138.89499999999998,29.91361111111111,4.852,4.978,91.3,11.7,22.9,15.52,135.5
2024-05-06 00:00:00.000,139.34999999999997,29.538333333333334,4.946,4.998,87.1,11.6,23.0,17.18,131.8
2024-12-12 00:00:00.000,176.86249999999998,13.899166666666666,5.795,5.854,88.6,9.7,24.0,9.79,92.4
2024-12-17 00:00:00.000,177.16666666666666,13.900277777777777,5.734,5.873,93.3,9.6,24.0,7.92,86.5
2024-12-22 00:00:00.000,177.40499999999997,13.931388888888888,5.673,5.892,98.1,9.5,24.0,6.12,77.0
2024-12-27 00:00:00.000,177.575,13.991944444444444,5.613,5.911,102.9,9.3,24.0,4.55,60.2
2025-01-01 00:00:00.000,177.67541666666665,14.081666666666667,5.554,5.93,107.9,9.1,24.0,3.64,31.2
2025-01-06 00:00:00.000,177.70416666666665,14.199166666666667,5.498,5.949,112.8,8.8,23.9,3.93,357.1
2025-01-11 00:00:00.000,177.66166666666666,14.342500000000001,5.445,5.968,117.9,8.4,23.9,5.2,334.1
2025-01-16 00:00:00.000,177.54833333333332,14.51,5.395,5.987,123.0,7.9,23.9,6.88,321.2
2025-01-21 00:00:00.000,177.36499999999998,14.699166666666667,5.348,6.006,128.1,7.4,23.9,8.69,313.3
2025-01-26 00:00:00.000,177.11333333333332,14.906666666666666,5.307,6.025,133.3,6.8,23.9,10.5,308.1
2025-04-21 00:00:00.000,168.60625,17.49388888888889,5.637,6.339,130.8,6.9,24.3,9.4,260.1
2025-04-26 00:00:00.000,168.31166666666664,17.42527777777778,5.715,6.357,125.9,7.4,24.3,7.98,251.7
2025-05-01 00:00:00.000,168.07749999999996,17.3275,5.798,6.376,121.0,7.8,24.4,6.72,240.0
